,reg,target,act,group
0,NRM1,SWI4,False,both
1,SWI6,CLN2,True,both
2,SWI6,CLN1,True,both
3,SWI6,PLM2,True,both
4,SWI6,YOX1,True,both
5,SWI6,CLB6,True,both
6,SWI6,HCM1,True,both
7,STB1,SWI4,False,both
8,SWI6,CLB5,True,both
9,HCM1,FKH2,True,both
10,HCM1,NDD1,True,both
11,HCM1,FKH1,True,both
12,MBP1,CLB6,True,both
13,HCM1,MCM1,True,refs
14,TOS4,NDD1,True,refs
15,CLN2,STB1,False,refs
16,CDH1,NRM1,False,refs
17,SWI5,CLN3,True,refs
18,SWI4,YOX1,True,refs
19,MBP1,CLN2,True,refs
20,FKH1,CDC20,True,refs
21,TOS4,MCM1,True,refs
22,YHP1,SWI4,False,refs
23,SWI6,NRM1,True,refs
24,PLM2,FKH1,True,refs
25,YOX1,SWI6,False,refs
26,CDH1,FKH1,False,refs
27,MBP1,YHP1,True,refs
28,PLM2,FKH2,True,refs
29,PLM2,MCM1,True,refs
30,CDH1,YHP1,False,refs
31,CDH1,FKH2,False,refs
32,CDC20,SWI5,True,refs
33,MBP1,TOS4,True,refs
34,MCM1,CDC20,True,refs
35,SWI4,TOS4,True,refs
36,FKH2,CLB2,True,refs
37,CLN1,STB1,False,refs
38,MBP1,YOX1,True,refs
39,CLN3,WHI5,False,refs
40,NDD1,CLB2,True,refs
41,CLN3,STB1,False,refs
42,MBP1,NRM1,True,refs
43,PLM2,NDD1,True,refs
44,SWI4,NRM1,True,refs
45,NRM1,MBP1,False,refs
46,FKH2,ACE2,True,refs
47,SWI4,CLN2,True,refs
48,SWI4,CLN1,True,refs
49,FKH1,SWI5,True,refs
50,STB1,MBP1,False,refs
51,CDH1,MCM1,False,refs
52,SWI4,YHP1,True,refs
53,CDC20,ACE2,True,refs
54,WHI5,SWI4,False,refs
55,SWI4,CLB5,True,refs
56,CLN2,CDH1,False,refs
57,MCM1,SWI5,True,refs
58,NDD1,CDC20,True,refs
59,MBP1,PLM2,True,refs
60,STB1,SWI6,False,refs
61,MBP1,HCM1,True,refs
62,MCM1,ACE2,True,refs
63,WHI5,MBP1,False,refs
64,YOX1,SWI4,False,refs
65,CDH1,NDD1,False,refs
66,SWI4,PLM2,True,refs
67,ACE2,CLN3,True,refs
68,MBP1,CLN1,True,refs
69,MBP1,CLB5,True,refs
70,YHP1,MBP1,False,refs
71,CDH1,SWI5,True,refs
72,CLN1,CDH1,False,refs
73,CLN2,WHI5,False,refs
74,CDH1,YOX1,False,refs
75,NRM1,SWI6,False,refs
76,FKH2,CDC20,True,refs
77,TOS4,FKH1,True,refs
78,FKH1,CLB2,True,refs
79,FKH2,SWI5,True,refs
80,TOS4,FKH2,True,refs
81,YHP1,SWI6,False,refs
82,SWI4,CLB6,True,refs
83,SWI6,TOS4,True,refs
84,NDD1,SWI5,True,refs
85,SWI4,HCM1,True,refs
86,CLN1,WHI5,False,refs
87,NDD1,ACE2,True,refs
88,SWI6,YHP1,True,refs
89,MCM1,CLB2,True,refs
90,YOX1,MBP1,False,refs
91,WHI5,SWI6,False,refs
92,FKH1,ACE2,True,refs
93,CDH1,ACE2,True,refs
94,FKH2,CLB1,False,grns
95,NRM1,YOX1,False,grns
96,SWI6,SWI6,True,grns
97,HCM1,WHI5,True,grns
98,SWI5,CLB5,True,grns
99,YOX1,TOS4,False,grns
100,HCM1,YHP1,True,grns
101,FKH2,FKH2,True,grns
102,HCM1,SWI4,False,grns
103,HCM1,CLB3,True,grns
104,FKH2,TOS4,False,grns
105,MBP1,PLM2,False,grns
106,SWI5,SWI5,True,grns
107,FKH1,MBP1,False,grns
108,WHI5,HCM1,False,grns
109,WHI5,NRM1,False,grns
110,NRM1,CLB6,False,grns
111,ACE2,SWI5,False,grns
112,FKH2,CLN3,False,grns
113,MBP1,CLB4,False,grns
114,NRM1,HCM1,False,grns
115,WHI5,CLB1,False,grns
116,FKH1,FKH1,True,grns
117,YHP1,YOX1,False,grns
118,MBP1,CLN1,False,grns
119,HCM1,SWI6,True,grns
120,FKH1,YHP1,False,grns
121,NRM1,NDD1,False,grns
122,NRM1,NRM1,True,grns
123,YOX1,YOX1,True,grns
124,ACE2,ACE2,True,grns
125,STB1,PLM2,True,grns
126,WHI5,TOS4,False,grns
127,HCM1,NRM1,True,grns
128,WHI5,YHP1,False,grns
129,WHI5,WHI5,True,grns
130,HCM1,CLN2,False,grns
131,SWI5,CDC20,False,grns
132,NRM1,WHI5,False,grns
133,YOX1,CLB2,False,grns
134,STB1,NRM1,True,grns
135,HCM1,MBP1,True,grns
136,YHP1,CDC20,False,grns
137,NRM1,YHP1,False,grns
138,STB1,CLB6,True,grns
139,HCM1,HCM1,True,grns
140,SWI5,CLB1,False,grns
141,STB1,CLN1,True,grns
142,HCM1,CLB4,True,grns
143,YHP1,CLB1,False,grns
144,FKH2,MBP1,False,grns
145,ACE2,PLM2,False,grns
146,SWI5,FKH1,True,grns
147,FKH2,NDD1,False,grns
148,FKH2,CLB6,False,grns
149,ACE2,NRM1,False,grns
150,HCM1,TOS4,False,grns
151,NRM1,CLB3,False,grns
152,HCM1,CLB5,False,grns
153,NRM1,CDH1,True,grns
154,WHI5,YOX1,False,grns
155,NRM1,STB1,False,grns
