,reg,target,act,group
0,HCM1,NDD1,True,both
1,HCM1,FKH2,True,both
2,HCM1,FKH1,True,both
3,STB1,SWI4,False,both
4,NRM1,SWI4,False,both
5,SWI6,YOX1,True,both
6,SWI6,CLN1,True,both
7,SWI6,CLB5,True,both
8,SWI6,CLN2,True,both
9,SWI6,PLM2,True,both
10,MBP1,CLB6,True,both
11,SWI6,CLB6,True,both
12,SWI6,HCM1,True,both
13,FKH2,ACE2,True,refs
14,CDH1,NDD1,False,refs
15,CDH1,YOX1,False,refs
16,SWI4,CLB6,True,refs
17,CLN3,STB1,False,refs
18,SWI4,HCM1,True,refs
19,YHP1,MBP1,False,refs
20,STB1,MBP1,False,refs
21,WHI5,MBP1,False,refs
22,MBP1,PLM2,True,refs
23,SWI4,YHP1,True,refs
24,FKH1,ACE2,True,refs
25,YOX1,MBP1,False,refs
26,SWI4,CLB5,True,refs
27,CDH1,MCM1,False,refs
28,YHP1,SWI6,False,refs
29,PLM2,NDD1,True,refs
30,CLN2,CDH1,False,refs
31,FKH1,CDC20,True,refs
32,MBP1,CLN1,True,refs
33,SWI4,TOS4,True,refs
34,SWI4,YOX1,True,refs
35,CLN1,STB1,False,refs
36,WHI5,SWI4,False,refs
37,CDC20,SWI5,True,refs
38,FKH2,CDC20,True,refs
39,SWI4,NRM1,True,refs
40,MBP1,YHP1,True,refs
41,MBP1,CLN2,True,refs
42,CDH1,FKH1,False,refs
43,SWI5,CLN3,True,refs
44,NDD1,CDC20,True,refs
45,FKH1,CLB2,True,refs
46,NDD1,CLB2,True,refs
47,TOS4,FKH1,True,refs
48,MCM1,ACE2,True,refs
49,CLN2,STB1,False,refs
50,CLN1,CDH1,False,refs
51,TOS4,NDD1,True,refs
52,SWI4,PLM2,True,refs
53,MBP1,TOS4,True,refs
54,PLM2,MCM1,True,refs
55,YHP1,SWI4,False,refs
56,MCM1,CDC20,True,refs
57,FKH1,SWI5,True,refs
58,NDD1,SWI5,True,refs
59,CLN2,WHI5,False,refs
60,PLM2,FKH1,True,refs
61,TOS4,FKH2,True,refs
62,NDD1,ACE2,True,refs
63,MBP1,HCM1,True,refs
64,NRM1,MBP1,False,refs
65,YOX1,SWI4,False,refs
66,CDC20,ACE2,True,refs
67,CDH1,SWI5,True,refs
68,WHI5,SWI6,False,refs
69,CLN3,WHI5,False,refs
70,MBP1,NRM1,True,refs
71,CDH1,ACE2,True,refs
72,SWI6,TOS4,True,refs
73,MBP1,CLB5,True,refs
74,FKH2,SWI5,True,refs
75,NRM1,SWI6,False,refs
76,ACE2,CLN3,True,refs
77,CDH1,YHP1,False,refs
78,HCM1,MCM1,True,refs
79,SWI6,YHP1,True,refs
80,SWI4,CLN2,True,refs
81,MBP1,YOX1,True,refs
82,CDH1,FKH2,False,refs
83,CLN1,WHI5,False,refs
84,FKH2,CLB2,True,refs
85,STB1,SWI6,False,refs
86,TOS4,MCM1,True,refs
87,CDH1,NRM1,False,refs
88,SWI6,NRM1,True,refs
89,MCM1,SWI5,True,refs
90,SWI4,CLN1,True,refs
91,PLM2,FKH2,True,refs
92,YOX1,SWI6,False,refs
93,MCM1,CLB2,True,refs
94,WHI5,TOS4,False,grns
95,HCM1,WHI5,True,grns
96,HCM1,YHP1,True,grns
97,WHI5,WHI5,True,grns
98,YHP1,YOX1,False,grns
99,HCM1,SWI4,False,grns
100,ACE2,ACE2,True,grns
101,FKH2,CLB1,False,grns
102,NRM1,CLB3,False,grns
103,MBP1,CLB4,False,grns
104,FKH1,FKH1,True,grns
105,ACE2,SWI5,False,grns
106,WHI5,YOX1,False,grns
107,YOX1,YOX1,True,grns
108,HCM1,SWI6,True,grns
109,FKH2,TOS4,False,grns
110,SWI5,CDC20,False,grns
111,HCM1,CLB3,True,grns
112,STB1,CLN1,True,grns
113,STB1,NRM1,True,grns
114,HCM1,NRM1,True,grns
115,SWI5,CLB5,True,grns
116,SWI6,SWI6,True,grns
117,WHI5,HCM1,False,grns
118,FKH2,NDD1,False,grns
119,YHP1,CDC20,False,grns
120,YOX1,TOS4,False,grns
121,FKH2,CLN3,False,grns
122,HCM1,CLN2,False,grns
123,ACE2,PLM2,False,grns
124,NRM1,NDD1,False,grns
125,HCM1,CLB4,True,grns
126,SWI5,FKH1,True,grns
127,WHI5,YHP1,False,grns
128,FKH2,CLB6,False,grns
129,FKH2,MBP1,False,grns
130,NRM1,WHI5,False,grns
131,NRM1,CLB6,False,grns
132,FKH2,FKH2,True,grns
133,HCM1,CLB5,False,grns
134,NRM1,HCM1,False,grns
135,NRM1,YOX1,False,grns
136,MBP1,PLM2,False,grns
137,SWI5,SWI5,True,grns
138,WHI5,NRM1,False,grns
139,SWI5,CLB1,False,grns
140,FKH1,MBP1,False,grns
141,ACE2,NRM1,False,grns
142,NRM1,NRM1,True,grns
143,YHP1,CLB1,False,grns
144,NRM1,CDH1,True,grns
145,STB1,PLM2,True,grns
146,YOX1,CLB2,False,grns
147,STB1,CLB6,True,grns
148,HCM1,MBP1,True,grns
149,NRM1,YHP1,False,grns
150,WHI5,CLB1,False,grns
151,HCM1,HCM1,True,grns
152,FKH1,YHP1,False,grns
153,NRM1,STB1,False,grns
154,MBP1,CLN1,False,grns
155,HCM1,TOS4,False,grns
