,reg,target,act,group
0,HCM1,NDD1,True,both
1,SWI6,HCM1,True,both
2,NRM1,SWI4,False,both
3,STB1,SWI4,False,both
4,SWI6,PLM2,True,both
5,SWI6,CLB6,True,both
6,MBP1,CLB6,True,both
7,HCM1,FKH2,True,both
8,SWI6,CLN2,True,both
9,HCM1,FKH1,True,both
10,SWI6,YOX1,True,both
11,SWI6,CLN1,True,both
12,SWI6,CLB5,True,both
13,TOS4,MCM1,True,refs
14,MBP1,NRM1,True,refs
15,MCM1,SWI5,True,refs
16,FKH2,CDC20,True,refs
17,CDC20,ACE2,True,refs
18,SWI6,YHP1,True,refs
19,NDD1,SWI5,True,refs
20,SWI4,NRM1,True,refs
21,SWI4,YOX1,True,refs
22,MBP1,HCM1,True,refs
23,CLN2,CDH1,False,refs
24,SWI4,HCM1,True,refs
25,PLM2,MCM1,True,refs
26,CLN1,STB1,False,refs
27,FKH1,SWI5,True,refs
28,NDD1,ACE2,True,refs
29,SWI6,TOS4,True,refs
30,SWI5,CLN3,True,refs
31,STB1,MBP1,False,refs
32,HCM1,MCM1,True,refs
33,FKH1,CLB2,True,refs
34,YHP1,SWI6,False,refs
35,CDC20,SWI5,True,refs
36,MCM1,CLB2,True,refs
37,SWI4,CLB6,True,refs
38,FKH2,SWI5,True,refs
39,YOX1,SWI6,False,refs
40,SWI6,NRM1,True,refs
41,NDD1,CLB2,True,refs
42,MBP1,CLN1,True,refs
43,FKH1,ACE2,True,refs
44,CLN3,WHI5,False,refs
45,MBP1,PLM2,True,refs
46,MBP1,CLN2,True,refs
47,SWI4,CLN1,True,refs
48,CDH1,SWI5,True,refs
49,SWI4,PLM2,True,refs
50,SWI4,CLN2,True,refs
51,CDH1,YHP1,False,refs
52,CLN2,WHI5,False,refs
53,MCM1,ACE2,True,refs
54,STB1,SWI6,False,refs
55,CDH1,MCM1,False,refs
56,NRM1,SWI6,False,refs
57,PLM2,FKH1,True,refs
58,WHI5,SWI4,False,refs
59,PLM2,NDD1,True,refs
60,TOS4,FKH1,True,refs
61,CLN1,CDH1,False,refs
62,CDH1,ACE2,True,refs
63,WHI5,MBP1,False,refs
64,TOS4,NDD1,True,refs
65,ACE2,CLN3,True,refs
66,MBP1,CLB5,True,refs
67,CLN3,STB1,False,refs
68,FKH2,CLB2,True,refs
69,SWI4,CLB5,True,refs
70,MBP1,YHP1,True,refs
71,YHP1,SWI4,False,refs
72,CDH1,FKH2,False,refs
73,MBP1,YOX1,True,refs
74,NDD1,CDC20,True,refs
75,CLN2,STB1,False,refs
76,SWI4,YHP1,True,refs
77,YOX1,SWI4,False,refs
78,YHP1,MBP1,False,refs
79,CDH1,NRM1,False,refs
80,FKH2,ACE2,True,refs
81,CDH1,YOX1,False,refs
82,YOX1,MBP1,False,refs
83,MBP1,TOS4,True,refs
84,WHI5,SWI6,False,refs
85,SWI4,TOS4,True,refs
86,FKH1,CDC20,True,refs
87,CDH1,FKH1,False,refs
88,CLN1,WHI5,False,refs
89,PLM2,FKH2,True,refs
90,CDH1,NDD1,False,refs
91,TOS4,FKH2,True,refs
92,MCM1,CDC20,True,refs
93,NRM1,MBP1,False,refs
94,FKH1,YHP1,False,grns
95,FKH2,CLN3,False,grns
96,ACE2,SWI4,False,grns
97,HCM1,CLB4,True,grns
98,YOX1,TOS4,False,grns
99,MBP1,CLB4,False,grns
100,NRM1,YHP1,False,grns
101,WHI5,WHI5,True,grns
102,ACE2,PLM2,False,grns
103,STB1,CLB6,True,grns
104,SWI6,SWI6,True,grns
105,NRM1,NRM1,True,grns
106,WHI5,TOS4,False,grns
107,NRM1,CDH1,True,grns
108,SWI5,CLB5,True,grns
109,SWI5,FKH1,True,grns
110,YHP1,CLB1,False,grns
111,FKH2,NDD1,False,grns
112,WHI5,HCM1,False,grns
113,STB1,CLN1,True,grns
114,ACE2,SWI5,False,grns
115,FKH2,TOS4,False,grns
116,HCM1,CLB3,True,grns
117,YHP1,YOX1,False,grns
118,WHI5,YHP1,False,grns
119,YOX1,YOX1,True,grns
120,NRM1,YOX1,False,grns
121,NRM1,CLB6,False,grns
122,FKH2,FKH2,True,grns
123,FKH1,FKH1,True,grns
124,FKH2,MBP1,False,grns
125,SWI5,CDC20,False,grns
126,SWI5,SWI5,True,grns
127,ACE2,NRM1,False,grns
128,HCM1,CLB5,False,grns
129,HCM1,HCM1,True,grns
130,HCM1,WHI5,True,grns
131,STB1,PLM2,True,grns
132,HCM1,YHP1,True,grns
133,HCM1,MBP1,True,grns
134,MBP1,CLN1,False,grns
135,HCM1,TOS4,False,grns
136,HCM1,SWI4,False,grns
137,YOX1,CLB2,False,grns
138,HCM1,SWI6,True,grns
139,MBP1,PLM2,False,grns
140,WHI5,CLB1,False,grns
141,SWI5,CLB1,False,grns
142,FKH2,CLB1,False,grns
143,NRM1,CLB3,False,grns
144,WHI5,NRM1,False,grns
145,NRM1,HCM1,False,grns
146,NRM1,WHI5,False,grns
147,WHI5,YOX1,False,grns
148,ACE2,ACE2,True,grns
149,FKH1,MBP1,False,grns
150,HCM1,NRM1,True,grns
151,NRM1,NDD1,False,grns
152,NRM1,STB1,False,grns
153,FKH2,CLB6,False,grns
154,HCM1,CLN2,False,grns
155,YHP1,CDC20,False,grns
156,STB1,NRM1,True,grns
