,reg,target,act,group
0,HCM1,NDD1,True,both
1,STB1,SWI4,False,both
2,MBP1,CLB6,True,both
3,SWI6,CLN2,True,both
4,HCM1,FKH2,True,both
5,SWI6,PLM2,True,both
6,SWI6,YOX1,True,both
7,SWI6,CLB5,True,both
8,SWI6,HCM1,True,both
9,NRM1,SWI4,False,both
10,SWI6,CLN1,True,both
11,HCM1,FKH1,True,both
12,SWI6,CLB6,True,both
13,CDH1,MCM1,False,refs
14,SWI4,HCM1,True,refs
15,MBP1,TOS4,True,refs
16,CLN2,CDH1,False,refs
17,NDD1,ACE2,True,refs
18,FKH1,ACE2,True,refs
19,WHI5,MBP1,False,refs
20,FKH2,SWI5,True,refs
21,SWI4,TOS4,True,refs
22,SWI4,YOX1,True,refs
23,MBP1,CLN1,True,refs
24,FKH2,CLB2,True,refs
25,PLM2,NDD1,True,refs
26,MCM1,CLB2,True,refs
27,MBP1,PLM2,True,refs
28,FKH1,CDC20,True,refs
29,CLN3,STB1,False,refs
30,SWI4,PLM2,True,refs
31,CDC20,ACE2,True,refs
32,CDH1,FKH2,False,refs
33,STB1,MBP1,False,refs
34,NDD1,SWI5,True,refs
35,CLN1,CDH1,False,refs
36,MBP1,CLN2,True,refs
37,MBP1,NRM1,True,refs
38,YOX1,SWI6,False,refs
39,CLN2,WHI5,False,refs
40,SWI4,NRM1,True,refs
41,CLN1,STB1,False,refs
42,NRM1,SWI6,False,refs
43,SWI6,TOS4,True,refs
44,MBP1,CLB5,True,refs
45,YHP1,SWI6,False,refs
46,MBP1,YHP1,True,refs
47,PLM2,FKH1,True,refs
48,YHP1,SWI4,False,refs
49,SWI4,CLN1,True,refs
50,MBP1,HCM1,True,refs
51,TOS4,MCM1,True,refs
52,FKH2,CDC20,True,refs
53,CDH1,NRM1,False,refs
54,MBP1,YOX1,True,refs
55,MCM1,CDC20,True,refs
56,TOS4,FKH1,True,refs
57,CLN1,WHI5,False,refs
58,CDH1,NDD1,False,refs
59,SWI4,CLB6,True,refs
60,FKH1,SWI5,True,refs
61,FKH2,ACE2,True,refs
62,HCM1,MCM1,True,refs
63,YOX1,SWI4,False,refs
64,SWI6,NRM1,True,refs
65,SWI4,CLN2,True,refs
66,NRM1,MBP1,False,refs
67,CDH1,YHP1,False,refs
68,PLM2,FKH2,True,refs
69,PLM2,MCM1,True,refs
70,MCM1,ACE2,True,refs
71,CDH1,YOX1,False,refs
72,SWI6,YHP1,True,refs
73,CDC20,SWI5,True,refs
74,SWI4,YHP1,True,refs
75,SWI4,CLB5,True,refs
76,YOX1,MBP1,False,refs
77,CDH1,SWI5,True,refs
78,CDH1,FKH1,False,refs
79,WHI5,SWI6,False,refs
80,NDD1,CLB2,True,refs
81,FKH1,CLB2,True,refs
82,CDH1,ACE2,True,refs
83,WHI5,SWI4,False,refs
84,CLN2,STB1,False,refs
85,SWI5,CLN3,True,refs
86,YHP1,MBP1,False,refs
87,CLN3,WHI5,False,refs
88,MCM1,SWI5,True,refs
89,TOS4,FKH2,True,refs
90,NDD1,CDC20,True,refs
91,ACE2,CLN3,True,refs
92,TOS4,NDD1,True,refs
93,STB1,SWI6,False,refs
94,FKH1,MBP1,False,grns
95,HCM1,NRM1,True,grns
96,FKH2,MBP1,False,grns
97,SWI5,CLB1,False,grns
98,NRM1,HCM1,False,grns
99,WHI5,TOS4,False,grns
100,ACE2,NRM1,False,grns
101,FKH2,NDD1,False,grns
102,SWI5,FKH1,True,grns
103,WHI5,NRM1,False,grns
104,WHI5,YOX1,False,grns
105,NRM1,CLB6,False,grns
106,HCM1,CLB5,False,grns
107,HCM1,SWI6,True,grns
108,SWI5,CLB5,True,grns
109,STB1,CLB6,True,grns
110,WHI5,WHI5,True,grns
111,SWI5,SWI5,True,grns
112,WHI5,CLB1,False,grns
113,YHP1,YOX1,False,grns
114,HCM1,MBP1,True,grns
115,NRM1,YOX1,False,grns
116,STB1,NRM1,True,grns
117,SWI5,CDC20,False,grns
118,NRM1,CDH1,True,grns
119,YHP1,CLB1,False,grns
120,HCM1,WHI5,True,grns
121,FKH1,YHP1,False,grns
122,ACE2,SWI4,False,grns
123,HCM1,CLN2,False,grns
124,YHP1,CDC20,False,grns
125,HCM1,TOS4,False,grns
126,SWI6,SWI6,True,grns
127,ACE2,ACE2,True,grns
128,WHI5,YHP1,False,grns
129,NRM1,NDD1,False,grns
130,ACE2,PLM2,False,grns
131,YOX1,YOX1,True,grns
132,HCM1,YHP1,True,grns
133,HCM1,CLB4,True,grns
134,MBP1,CLN1,False,grns
135,STB1,CLN1,True,grns
136,FKH2,CLB6,False,grns
137,ACE2,SWI5,False,grns
138,FKH2,FKH2,True,grns
139,HCM1,SWI4,False,grns
140,HCM1,CLB3,True,grns
141,NRM1,STB1,False,grns
142,NRM1,WHI5,False,grns
143,NRM1,YHP1,False,grns
144,NRM1,CLB3,False,grns
145,STB1,PLM2,True,grns
146,FKH2,CLN3,False,grns
147,FKH2,TOS4,False,grns
148,YOX1,CLB2,False,grns
149,HCM1,HCM1,True,grns
150,NRM1,NRM1,True,grns
151,FKH2,CLB1,False,grns
152,WHI5,HCM1,False,grns
153,FKH1,FKH1,True,grns
154,MBP1,PLM2,False,grns
155,MBP1,CLB4,False,grns
156,YOX1,TOS4,False,grns
