,reg,target,act,group
0,SWI6,CLB6,True,both
1,SWI6,CLN2,True,both
2,SWI6,CLN1,True,both
3,NRM1,SWI4,False,both
4,SWI6,CLB5,True,both
5,MBP1,CLB6,True,both
6,HCM1,FKH2,True,both
7,SWI6,YOX1,True,both
8,SWI6,PLM2,True,both
9,STB1,SWI4,False,both
10,SWI6,HCM1,True,both
11,HCM1,NDD1,True,both
12,HCM1,FKH1,True,both
13,PLM2,NDD1,True,refs
14,PLM2,FKH1,True,refs
15,CDC20,SWI5,True,refs
16,FKH2,SWI5,True,refs
17,PLM2,FKH2,True,refs
18,PLM2,MCM1,True,refs
19,CLN1,CDH1,False,refs
20,MBP1,CLN1,True,refs
21,NDD1,SWI5,True,refs
22,MBP1,NRM1,True,refs
23,FKH1,CLB2,True,refs
24,SWI4,NRM1,True,refs
25,TOS4,NDD1,True,refs
26,SWI5,CLN3,True,refs
27,WHI5,MBP1,False,refs
28,CDH1,NDD1,False,refs
29,CDH1,ACE2,True,refs
30,FKH1,CDC20,True,refs
31,MBP1,PLM2,True,refs
32,NRM1,SWI6,False,refs
33,MCM1,CDC20,True,refs
34,CDH1,FKH2,False,refs
35,CDH1,YOX1,False,refs
36,MCM1,ACE2,True,refs
37,MBP1,HCM1,True,refs
38,CDH1,SWI5,True,refs
39,CLN1,STB1,False,refs
40,FKH1,ACE2,True,refs
41,YOX1,SWI4,False,refs
42,CLN3,WHI5,False,refs
43,NDD1,CLB2,True,refs
44,CDH1,NRM1,False,refs
45,SWI4,HCM1,True,refs
46,MBP1,TOS4,True,refs
47,TOS4,FKH1,True,refs
48,MCM1,CLB2,True,refs
49,SWI4,TOS4,True,refs
50,SWI4,CLN1,True,refs
51,CLN1,WHI5,False,refs
52,CDH1,FKH1,False,refs
53,NRM1,MBP1,False,refs
54,CLN2,CDH1,False,refs
55,FKH2,CLB2,True,refs
56,STB1,SWI6,False,refs
57,TOS4,FKH2,True,refs
58,CLN3,STB1,False,refs
59,MBP1,YOX1,True,refs
60,CDH1,MCM1,False,refs
61,YHP1,SWI4,False,refs
62,CLN2,WHI5,False,refs
63,SWI4,PLM2,True,refs
64,NDD1,ACE2,True,refs
65,FKH2,CDC20,True,refs
66,SWI6,NRM1,True,refs
67,MBP1,CLN2,True,refs
68,MBP1,CLB5,True,refs
69,SWI4,CLN2,True,refs
70,FKH1,SWI5,True,refs
71,SWI4,CLB5,True,refs
72,FKH2,ACE2,True,refs
73,MCM1,SWI5,True,refs
74,STB1,MBP1,False,refs
75,HCM1,MCM1,True,refs
76,CDH1,YHP1,False,refs
77,CLN2,STB1,False,refs
78,YHP1,SWI6,False,refs
79,WHI5,SWI6,False,refs
80,MBP1,YHP1,True,refs
81,NDD1,CDC20,True,refs
82,SWI4,YHP1,True,refs
83,SWI4,CLB6,True,refs
84,TOS4,MCM1,True,refs
85,WHI5,SWI4,False,refs
86,ACE2,CLN3,True,refs
87,YOX1,MBP1,False,refs
88,YOX1,SWI6,False,refs
89,SWI4,YOX1,True,refs
90,SWI6,TOS4,True,refs
91,CDC20,ACE2,True,refs
92,YHP1,MBP1,False,refs
93,SWI6,YHP1,True,refs
94,STB1,NRM1,True,grns
95,SWI5,CLB1,False,grns
96,NRM1,HCM1,False,grns
97,NRM1,CLB3,False,grns
98,WHI5,HCM1,False,grns
99,NRM1,CDH1,True,grns
100,HCM1,HCM1,True,grns
101,HCM1,CLB3,True,grns
102,ACE2,NRM1,False,grns
103,STB1,CLB6,True,grns
104,HCM1,MBP1,True,grns
105,FKH1,FKH1,True,grns
106,ACE2,SWI4,False,grns
107,FKH2,CLN3,False,grns
108,FKH2,MBP1,False,grns
109,MBP1,CLN1,False,grns
110,SWI5,CLB5,True,grns
111,SWI5,CDC20,False,grns
112,HCM1,SWI6,True,grns
113,WHI5,TOS4,False,grns
114,WHI5,NRM1,False,grns
115,HCM1,NRM1,True,grns
116,YHP1,CLB1,False,grns
117,WHI5,WHI5,True,grns
118,ACE2,CLB6,False,grns
119,HCM1,YHP1,True,grns
120,ACE2,SWI5,False,grns
121,STB1,PLM2,True,grns
122,MBP1,CLB4,False,grns
123,ACE2,NDD1,False,grns
124,HCM1,CLB5,False,grns
125,FKH2,TOS4,False,grns
126,NRM1,CLB6,False,grns
127,SWI5,SWI5,True,grns
128,NRM1,YHP1,False,grns
129,NRM1,STB1,False,grns
130,WHI5,YHP1,False,grns
131,HCM1,CLB4,True,grns
132,SWI6,SWI6,True,grns
133,ACE2,ACE2,True,grns
134,WHI5,CLB1,False,grns
135,FKH2,CLB1,False,grns
136,YOX1,YOX1,True,grns
137,NRM1,NDD1,False,grns
138,YOX1,TOS4,False,grns
139,HCM1,TOS4,False,grns
140,FKH2,CLB6,False,grns
141,HCM1,CLN2,False,grns
142,FKH2,FKH2,True,grns
143,MBP1,PLM2,False,grns
144,ACE2,PLM2,False,grns
145,SWI5,FKH1,True,grns
146,YOX1,CLB2,False,grns
147,NRM1,YOX1,False,grns
148,WHI5,YOX1,False,grns
149,FKH2,NDD1,False,grns
150,YHP1,CDC20,False,grns
151,HCM1,SWI4,False,grns
152,HCM1,WHI5,True,grns
153,STB1,CLN1,True,grns
154,NRM1,WHI5,False,grns
155,YHP1,YOX1,False,grns
156,NRM1,NRM1,True,grns
157,FKH1,MBP1,False,grns
