reg,target,type,time
ACE2,SWI4,rep,9.860461602288149
FKH1,CLB6,act,8.096577112976275
FKH1,FKH2,rep,0.3421660407970722
FKH1,NDD1,act,7.065155981400531
FKH1,STB1,act,5.013137942777941
FKH2,ACE2,rep,0.30340175675913467
FKH2,CLB2,act,9.902261552560145
FKH2,CLN3,rep,5.000442219225028
FKH2,MBP1,rep,0.09184005374985713
FKH2,STB1,act,5.602582438807145
FKH2,SWI5,rep,0.0003750174787626715
FKH2,SWI6,rep,0.12620309205185598
FKH2,WHI5,act,7.32355542173859
MBP1,CDC20,rep,5.558423135623082
MBP1,CLB1,rep,0.09137021437860825
MBP1,CLB4,rep,7.280878939836356
MBP1,CLB5,act,5.703501452142728
MBP1,CLB6,act,6.818424204077163
MBP1,CLN1,rep,6.611406875257912
MBP1,NDD1,rep,5.460049189008572
MBP1,NRM1,rep,0.13377204245571453
MBP1,PLM2,rep,6.62664393609604
MBP1,SWI4,act,7.108852228440296
MBP1,SWI6,rep,6.729488432655724
MBP1,TOS4,act,0.39748691555511956
MBP1,YOX1,act,3.6332848533576323
NRM1,FKH1,rep,0.0018658533252217894
NRM1,HCM1,rep,9.624488326341483
NRM1,STB1,rep,8.480618026065864
STB1,YHP1,act,5.351651932050755
SWI5,MBP1,rep,0.0009818238019206268
WHI5,CLN2,rep,3.213183596859764
WHI5,HCM1,rep,0.21582170457950098
WHI5,NRM1,rep,0.16229366715565724
WHI5,YHP1,rep,7.219569526583253
YHP1,CLB1,rep,0.011542474670160159
YHP1,PLM2,rep,1.3181924377530938
YHP1,YOX1,rep,9.6801363714337
YOX1,YHP1,rep,0.41858923622729227
