,reg,target,act,type
0,"[SWI4,SWI6]","[CLB5,CLB6]",,True
1,"[SWI4,SWI6]","[CLN1,CLN2]",,True
2,"[SWI4,SWI6]","[WHI5,STB1]",,False
3,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",,True
4,"[MBP1,SWI6]","[SWI5,ACE2]",,True
5,"[MBP1,SWI6]","[CLB5,CLB6]",,True
6,"[MBP1,SWI6]","[CLN1,CLN2]",,False
7,"[MBP1,SWI6]","[NDD1,FKH1,FKH2,MCM1]",,True
8,"[MBP1,SWI6]","[NDD1,FKH1,FKH2,MCM1]",,False
9,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",,False
10,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",,False
11,"[MBP1,SWI6]","[SWI4,SWI6]",,True
12,"[MBP1,SWI6]","[SWI4,SWI6]",,False
13,"[MBP1,SWI6]","[MBP1,SWI6]",,False
14,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",,True
15,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",,True
16,"[MBP1,SWI6]","[CLN1,CLN2]",,True
17,"[MBP1,SWI6]","[WHI5,STB1]",,False
18,"[[MBP1,SWI6],[SWI4,SWI6]]","[[MBP1,SWI6],[SWI4,SWI6]]",,True
19,"[[MBP1,SWI6],[SWI4,SWI6]]","[[MBP1,SWI6],[SWI4,SWI6]]",,False
20,"[WHI5,STB1]","[CLB5,CLB6]",,False
21,"[WHI5,STB1]","[CLN1,CLN2]",,False
22,"[WHI5,STB1]","[HCM1,PLM2,TOS4]",,False
23,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",,False
24,"[WHI5,STB1]","[CLB5,CLB6]",,True
25,"[WHI5,STB1]","[CLN1,CLN2]",,True
26,"[WHI5,STB1]","[HCM1,PLM2,TOS4]",,True
27,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",,True
28,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",,False
29,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",,False
30,"[YOX1,NRM1,YHP1]","[CLB5,CLB6]",,False
31,"[YOX1,NRM1,YHP1]","[NDD1,FKH1,FKH2,MCM1]",,False
32,"[YOX1,NRM1,YHP1]","[HCM1,PLM2,TOS4]",,False
33,"[YOX1,NRM1,YHP1]","[WHI5,STB1]",,False
34,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",,True
35,"[HCM1,PLM2,TOS4]","[YOX1,NRM1,YHP1]",,True
36,"[HCM1,PLM2,TOS4]","[HCM1,PLM2,TOS4]",,True
37,"[HCM1,PLM2,TOS4]","[SWI4,SWI6]",,True
38,"[HCM1,PLM2,TOS4]","[MBP1,SWI6]",,True
39,"[HCM1,PLM2,TOS4]","[WHI5,STB1]",,True
40,"[HCM1,PLM2,TOS4]","[YOX1,NRM1,YHP1]",,False
41,"[NDD1,FKH1,FKH2,MCM1]","[NDD1,FKH1,FKH2,MCM1]",,False
42,"[NDD1,FKH1,FKH2,MCM1]","[WHI5,STB1]",,True
43,"[NDD1,FKH1,FKH2,MCM1]","[SWI5,ACE2]",,False
44,"[NDD1,FKH1,FKH2,MCM1]","[CLN1,CLN2]",,False
45,"[NDD1,FKH1,FKH2,MCM1]","[HCM1,PLM2,TOS4]",,True
46,"[NDD1,FKH1,FKH2,MCM1]","[MBP1,SWI6]",,False
47,"[NDD1,FKH1,FKH2,MCM1]","[HCM1,PLM2,TOS4]",,False
48,"[NDD1,FKH1,FKH2,MCM1]","[SWI4,SWI6]",,False
49,"[SWI5,ACE2]","[CLB5,CLB6]",,True
50,"[SWI5,ACE2]","[MBP1,SWI6]",,False
51,"[SWI5,ACE2]","[CLB5,CLB6]",,False
52,"[SWI5,ACE2]","[HCM1,PLM2,TOS4]",,False
53,"[SWI5,ACE2]","[WHI5,STB1]",,False
54,"[SWI5,ACE2]","[SWI4,SWI6]",,False
55,"[SWI5,ACE2]","[YOX1,NRM1,YHP1]",,False
