,reg,target,act,type
0,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",,True
1,"[SWI4,SWI6]","[CLN1,CLN2]",,True
2,"[SWI4,SWI6]","[CLB5,CLB6]",,True
3,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",,True
4,"[MBP1,SWI6]","[CLB5,CLB6]",,True
5,"[MBP1,SWI6]","[NDD1,FKH1,FKH2,MCM1]",,False
6,"[MBP1,SWI6]","[SWI4,SWI6]",,True
7,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",,True
8,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",,True
9,"[MBP1,SWI6]","[CLN1,CLN2]",,True
10,"[[MBP1,SWI6],[SWI4,SWI6]]","[[MBP1,SWI6],[SWI4,SWI6]]",,True
11,"[CLN1,CLN2]","[WHI5,STB1]",,False
12,"[WHI5,STB1]","[SWI4,SWI6]",,False
13,"[WHI5,STB1]","[MBP1,SWI6]",,False
14,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",,True
15,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",,False
16,"[YOX1,NRM1,YHP1]","[MBP1,SWI6]",,False
17,"[YOX1,NRM1,YHP1]","[WHI5,STB1]",,False
18,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",,False
19,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",,True
20,"[NDD1,FKH1,FKH2,MCM1]","[SWI5,ACE2]",,True
21,"[NDD1,FKH1,FKH2,MCM1]",[CLB2],,True
22,"[NDD1,FKH1,FKH2,MCM1]","[CLB5,CLB6]",,False
23,"[NDD1,FKH1,FKH2,MCM1]","[YOX1,NRM1,YHP1]",,False
