,reg,target,act,type
0,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",,True
1,"[SWI4,SWI6]","[CLN1,CLN2]",,True
2,"[SWI4,SWI6]","[CLB5,CLB6]",,True
3,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",,True
4,"[SWI4,SWI6]","[WHI5,STB1]",,False
5,"[MBP1,SWI6]","[SWI5,ACE2]",,True
6,"[MBP1,SWI6]","[CLB5,CLB6]",,True
7,"[MBP1,SWI6]","[CLN1,CLN2]",,False
8,"[MBP1,SWI6]","[NDD1,FKH1,FKH2,MCM1]",,True
9,"[MBP1,SWI6]","[NDD1,FKH1,FKH2,MCM1]",,False
10,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",,False
11,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",,False
12,"[MBP1,SWI6]","[SWI4,SWI6]",,True
13,"[MBP1,SWI6]","[SWI4,SWI6]",,False
14,"[MBP1,SWI6]","[MBP1,SWI6]",,False
15,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",,True
16,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",,True
17,"[MBP1,SWI6]","[CLN1,CLN2]",,True
18,"[MBP1,SWI6]","[WHI5,STB1]",,False
19,"[[MBP1,SWI6],[SWI4,SWI6]]","[[MBP1,SWI6],[SWI4,SWI6]]",,True
20,"[[MBP1,SWI6],[SWI4,SWI6]]","[[MBP1,SWI6],[SWI4,SWI6]]",,False
21,"[CLN1,CLN2]","[WHI5,STB1]",,False
22,"[WHI5,STB1]","[CLN1,CLN2]",,False
23,"[WHI5,STB1]","[HCM1,PLM2,TOS4]",,False
24,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",,False
25,"[WHI5,STB1]","[SWI4,SWI6]",,False
26,"[WHI5,STB1]","[MBP1,SWI6]",,False
27,"[WHI5,STB1]","[CLB5,CLB6]",,True
28,"[WHI5,STB1]","[CLN1,CLN2]",,True
29,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",,True
30,"[YOX1,NRM1,YHP1]","[YOX1,NRM1,YHP1]",,False
31,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",,False
32,"[YOX1,NRM1,YHP1]","[MBP1,SWI6]",,False
33,"[YOX1,NRM1,YHP1]","[NDD1,FKH1,FKH2,MCM1]",,False
34,"[YOX1,NRM1,YHP1]","[HCM1,PLM2,TOS4]",,False
35,"[YOX1,NRM1,YHP1]","[WHI5,STB1]",,False
36,"[HCM1,PLM2,TOS4]","[HCM1,PLM2,TOS4]",,True
37,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",,True
38,"[NDD1,FKH1,FKH2,MCM1]","[SWI5,ACE2]",,True
39,"[NDD1,FKH1,FKH2,MCM1]",[CLB2],,True
40,"[NDD1,FKH1,FKH2,MCM1]","[CLB5,CLB6]",,True
41,"[NDD1,FKH1,FKH2,MCM1]","[NDD1,FKH1,FKH2,MCM1]",,False
42,"[NDD1,FKH1,FKH2,MCM1]","[NDD1,FKH1,FKH2,MCM1]",,True
43,"[NDD1,FKH1,FKH2,MCM1]","[WHI5,STB1]",,True
44,"[NDD1,FKH1,FKH2,MCM1]","[SWI5,ACE2]",,False
45,"[NDD1,FKH1,FKH2,MCM1]","[HCM1,PLM2,TOS4]",,True
46,"[NDD1,FKH1,FKH2,MCM1]","[MBP1,SWI6]",,False
47,"[NDD1,FKH1,FKH2,MCM1]","[SWI4,SWI6]",,False
48,"[SWI5,ACE2]","[MBP1,SWI6]",,False
49,"[SWI5,ACE2]","[SWI4,SWI6]",,False
