,reg,target,act,type
0,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14f110e30>,,True
1,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14f11eab0>,,True
2,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14955bf50>,,True
3,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14f123110>,,True
4,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14f113170>,,True
5,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14f11e6f0>,,True
6,<structs.GeneNode object at 0x14f11e360>,<structs.GroupNode object at 0x14f110e30>,,True
7,<structs.GeneNode object at 0x14f11e360>,<structs.GroupNode object at 0x14f11eab0>,,False
8,<structs.GeneNode object at 0x14f11e360>,<structs.GroupNode object at 0x14955bf50>,,False
9,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14f11eab0>,,True
10,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14f11eab0>,,True
11,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14955bf50>,,True
12,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14955bf50>,,True
13,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14f123110>,,True
14,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14f113170>,,True
15,<structs.GeneNode object at 0x14f111fa0>,<structs.GroupNode object at 0x14f11e6f0>,,True
16,<structs.GroupNode object at 0x14f113170>,<structs.GroupNode object at 0x148f021b0>,,True
17,<structs.GeneNode object at 0x14f111a60>,<structs.GroupNode object at 0x14955bf50>,,False
18,<structs.GeneNode object at 0x14f111a60>,<structs.GroupNode object at 0x14f11e6f0>,,False
19,<structs.GeneNode object at 0x14f111a60>,<structs.GroupNode object at 0x14f1137a0>,,True
20,<structs.GeneNode object at 0x14f121a60>,<structs.GroupNode object at 0x14f110e30>,,True
21,<structs.GeneNode object at 0x14f121a60>,<structs.GroupNode object at 0x14f11eab0>,,True
22,<structs.GeneNode object at 0x14f121a60>,<structs.GroupNode object at 0x14f11e6f0>,,True
23,<structs.GeneNode object at 0x14f121a60>,<structs.GroupNode object at 0x14955bf50>,,True
24,<structs.GeneNode object at 0x14f121a60>,<structs.GroupNode object at 0x14f123110>,,False
25,<structs.GeneNode object at 0x14f111760>,<structs.GroupNode object at 0x14955bf50>,,False
26,<structs.GeneNode object at 0x14f111760>,<structs.GroupNode object at 0x14f11e6f0>,,True
27,<structs.GeneNode object at 0x148f39a90>,<structs.GroupNode object at 0x14f110e30>,,False
28,<structs.GeneNode object at 0x148f39a90>,<structs.GroupNode object at 0x14f11c290>,,False
29,<structs.GeneNode object at 0x148f39a90>,<structs.GroupNode object at 0x14f1137a0>,,False
30,<structs.GeneNode object at 0x148f39a90>,<structs.GroupNode object at 0x14f123110>,,False
31,<structs.GeneNode object at 0x148f39a90>,<structs.GroupNode object at 0x14f11e6f0>,,False
32,<structs.GeneNode object at 0x148f39a90>,<structs.GroupNode object at 0x14f11e6f0>,,False
33,<structs.GeneNode object at 0x14f111d30>,<structs.GroupNode object at 0x14f11e6f0>,,False
34,<structs.GeneNode object at 0x14f112d20>,<structs.GroupNode object at 0x14f110e30>,,False
35,<structs.GeneNode object at 0x14f112d20>,<structs.GroupNode object at 0x14f11eab0>,,False
36,<structs.GeneNode object at 0x14f112d20>,<structs.GroupNode object at 0x14f11c290>,,True
37,<structs.GeneNode object at 0x14f112d20>,<structs.GroupNode object at 0x14955bf50>,,True
38,<structs.GeneNode object at 0x14f112d20>,<structs.GroupNode object at 0x14f113170>,,True
39,<structs.GeneNode object at 0x14f112d20>,<structs.GroupNode object at 0x14f11e6f0>,,True
40,<structs.GeneNode object at 0x14f112d20>,<structs.GroupNode object at 0x14f123110>,,False
41,<structs.GeneNode object at 0x14f112d20>,<structs.GroupNode object at 0x14f123110>,,True
42,<structs.GeneNode object at 0x14f112d20>,<structs.GroupNode object at 0x14955bf50>,,False
43,<structs.GeneNode object at 0x14f112d20>,<structs.GroupNode object at 0x14f1137a0>,,True
44,<structs.GeneNode object at 0x137218bc0>,<structs.GroupNode object at 0x14f11c290>,,True
45,<structs.GeneNode object at 0x137218bc0>,<structs.GroupNode object at 0x14f113170>,,False
46,<structs.GeneNode object at 0x14f120b60>,<structs.GroupNode object at 0x14f110e30>,,False
47,<structs.GeneNode object at 0x14f120b60>,<structs.GroupNode object at 0x14f11c290>,,False
48,<structs.GeneNode object at 0x14f120b60>,<structs.GroupNode object at 0x14955bf50>,,False
49,<structs.GeneNode object at 0x14f1228d0>,<structs.GroupNode object at 0x14f110e30>,,True
50,<structs.GeneNode object at 0x14f1228d0>,<structs.GroupNode object at 0x14f11c290>,,True
51,<structs.GeneNode object at 0x14f1228d0>,<structs.GroupNode object at 0x14f109a60>,,True
52,<structs.GeneNode object at 0x149665010>,<structs.GroupNode object at 0x14f110e30>,,False
53,<structs.GeneNode object at 0x149665010>,<structs.GroupNode object at 0x14f11c290>,,False
54,<structs.GeneNode object at 0x149665010>,<structs.GroupNode object at 0x14f11e6f0>,,False
55,<structs.GeneNode object at 0x149665010>,<structs.GroupNode object at 0x14955bf50>,,False
56,<structs.GeneNode object at 0x149665010>,<structs.GroupNode object at 0x14f123110>,,False
57,<structs.GeneNode object at 0x149665010>,<structs.GroupNode object at 0x14f109a60>,,False
