reg,target,type,time
ACE2,CLB2,rep,13.768364957543595
FKH1,ACE2,rep,14.69474299602947
FKH1,CLB6,rep,8.284581100286001
FKH1,NRM1,rep,14.97294852835107
FKH1,PLM2,rep,14.744845760593094
FKH1,STB1,act,5.010789556187959
FKH1,SWI4,act,13.786427847943077
FKH2,ACE2,rep,11.57863212051104
FKH2,CDC20,rep,14.534081306127709
FKH2,CLB6,rep,14.922722249774866
FKH2,MBP1,act,14.96863129159323
FKH2,PLM2,rep,14.968363043244128
FKH2,YOX1,rep,8.383576120935315
HCM1,CLB3,act,12.303465025104515
HCM1,CLB4,act,12.57559720372555
HCM1,FKH1,act,14.689413243284884
HCM1,FKH2,act,14.643544174091243
HCM1,NDD1,act,13.610095012406557
HCM1,NRM1,act,12.812109613906143
HCM1,PLM2,act,11.662853151311882
HCM1,SWI6,act,14.886654990834
HCM1,WHI5,act,14.397568188068865
HCM1,YHP1,act,14.246047192448978
HCM1,YOX1,rep,14.709761590546687
MBP1,CDC20,rep,4.93115338550378
MBP1,CLB5,act,5.081713399456142
MBP1,NDD1,rep,4.930411541474772
MBP1,YOX1,act,3.768861010017118
NRM1,CLB1,rep,12.482402714179061
NRM1,CLB5,rep,12.414911832699248
NRM1,CLB6,rep,13.060525169478677
NRM1,HCM1,rep,9.624496466042258
NRM1,PLM2,rep,12.336378236699707
NRM1,STB1,rep,8.480630158684754
NRM1,TOS4,rep,13.016667223742589
NRM1,YHP1,rep,11.061540696513354
STB1,CLB5,act,14.518646990979494
STB1,CLB6,act,10.085733085264556
STB1,CLN1,act,13.389537315844558
STB1,HCM1,act,13.30646816860439
STB1,NRM1,act,14.634840891605363
STB1,YHP1,act,5.351548040368608
SWI6,CLB5,act,14.140845983411191
SWI6,CLB6,act,12.847920141159122
SWI6,CLN1,act,13.688932494047558
SWI6,CLN2,act,12.28894102949949
SWI6,YHP1,act,10.070300759107639
SWI6,YOX1,act,10.213772555164399
WHI5,CLB1,rep,11.49847207675483
WHI5,CLB5,rep,14.75884828134813
WHI5,CLN1,rep,14.589917746363826
WHI5,YHP1,rep,11.559098319909635
WHI5,YOX1,rep,13.33163424194281
YHP1,PLM2,rep,0.027654307511477797
YHP1,YOX1,rep,9.680137286510654
YOX1,CDC20,rep,11.844902027001105
YOX1,CLB2,rep,13.645101462341852
YOX1,CLN3,rep,11.708475872837333
YOX1,SWI4,rep,14.88876009655638
YOX1,YHP1,rep,14.684534953083041
