reg,target,type,time
ACE2,ACE2,act,3.1031079145178246
ACE2,CLB6,rep,17.35961238473839
ACE2,NDD1,rep,18.086962048854303
ACE2,NRM1,rep,0.04130119300589384
ACE2,PLM2,rep,0.0018587680417473547
ACE2,SWI4,rep,15.084577053588445
ACE2,SWI5,rep,0.20880314274089207
FKH1,CLN2,act,4.525134081226116
FKH1,FKH1,act,0.8241759139831972
FKH1,MBP1,rep,0.633517073803923
FKH2,CLB1,rep,6.8718680771282745e-09
FKH2,CLB6,rep,14.944552504787712
FKH2,CLN3,rep,4.981702077884284
FKH2,FKH2,act,4.78140400366891
FKH2,MBP1,rep,12.725948704203518
FKH2,NDD1,rep,10.673076677706765
FKH2,TOS4,rep,15.171012720327973
HCM1,CLB3,act,12.007738235763078
HCM1,CLB4,act,12.659507021349746
HCM1,CLB5,rep,0.18496599774237868
HCM1,CLN2,rep,0.08966007023370717
HCM1,FKH1,act,14.452833603522453
HCM1,FKH2,act,14.389806289328433
HCM1,HCM1,act,2.41589112441117
HCM1,MBP1,act,14.936459958694806
HCM1,NDD1,act,13.097450647183113
HCM1,NRM1,act,12.062666394551314
HCM1,SWI4,rep,0.09341602807189962
HCM1,SWI6,act,14.586330893839891
HCM1,TOS4,rep,0.09031765992663425
HCM1,WHI5,act,13.018882770513228
HCM1,YHP1,act,13.687647276498751
MBP1,CLB4,rep,7.840345811857368
MBP1,CLB6,act,7.212830576585903
MBP1,CLN1,rep,6.267266652904302
MBP1,PLM2,rep,12.528462869247619
NRM1,ACE2,act,7.65576412118409
NRM1,CLB6,rep,12.136804404470375
NRM1,HCM1,rep,9.70269505939326
NRM1,NDD1,rep,3.7824558481284014
NRM1,NRM1,act,1.6033484709758365
NRM1,STB1,rep,8.470773675150465
NRM1,SWI4,rep,12.215241383799535
NRM1,WHI5,rep,9.975049748745763
NRM1,YHP1,rep,11.247185473316172
NRM1,YOX1,rep,4.045602073289087
STB1,CLB6,act,0.2559186263316137
STB1,NRM1,act,13.062769550884243
STB1,PLM2,act,14.925607831167117
STB1,SWI4,rep,1.5335641547394196
SWI5,CDC20,rep,16.248190038270135
SWI5,CLB1,rep,15.217558986668143
SWI5,CLB5,act,16.72076722752221
SWI5,SWI5,act,4.846814323757547
SWI6,CLB5,act,13.248331677843362
SWI6,CLB6,act,12.111487242072911
SWI6,CLN1,act,13.107243308873024
SWI6,CLN2,act,11.32756811951314
SWI6,HCM1,act,13.439713575964756
SWI6,PLM2,act,15.000830883397803
SWI6,SWI6,act,3.755674214260994
SWI6,YOX1,act,10.111428240931668
WHI5,CLB1,rep,7.261506085297453
WHI5,HCM1,rep,7.9333010186313615
WHI5,NRM1,rep,0.840798775361101
WHI5,WHI5,act,2.851486301463674
WHI5,YHP1,rep,8.738764692190806
WHI5,YOX1,rep,7.052975281912243
YHP1,CDC20,rep,4.635779688940014
YHP1,CLB1,rep,14.239102995399685
YHP1,YOX1,rep,9.954608350003296
YOX1,CLB2,rep,0.0281809284653531
YOX1,TOS4,rep,15.158286274580233
YOX1,YOX1,act,0.16009712013778862
