,reg,target,act,group
0,MBP1,CLB6,True,both
1,SWI6,HCM1,True,both
2,SWI6,CLN1,True,both
3,SWI6,YOX1,True,both
4,SWI6,CLB6,True,both
5,HCM1,FKH1,True,both
6,HCM1,NDD1,True,both
7,SWI6,PLM2,True,both
8,STB1,SWI4,False,both
9,HCM1,FKH2,True,both
10,SWI6,CLN2,True,both
11,SWI6,CLB5,True,both
12,NRM1,SWI4,False,both
13,SWI5,CLN3,True,refs
14,MBP1,NRM1,True,refs
15,FKH2,SWI5,True,refs
16,SWI4,YHP1,True,refs
17,TOS4,FKH1,True,refs
18,CDH1,YOX1,False,refs
19,FKH2,CLB2,True,refs
20,CLN1,WHI5,False,refs
21,ACE2,CLN3,True,refs
22,MCM1,SWI5,True,refs
23,MCM1,ACE2,True,refs
24,NDD1,CDC20,True,refs
25,SWI4,NRM1,True,refs
26,SWI4,TOS4,True,refs
27,MCM1,CLB2,True,refs
28,SWI4,YOX1,True,refs
29,SWI4,PLM2,True,refs
30,WHI5,SWI6,False,refs
31,HCM1,MCM1,True,refs
32,MBP1,TOS4,True,refs
33,TOS4,MCM1,True,refs
34,CDH1,MCM1,False,refs
35,NRM1,MBP1,False,refs
36,MBP1,PLM2,True,refs
37,WHI5,SWI4,False,refs
38,CDC20,SWI5,True,refs
39,SWI4,CLN1,True,refs
40,CDH1,ACE2,True,refs
41,CLN3,WHI5,False,refs
42,CDH1,SWI5,True,refs
43,MBP1,CLB5,True,refs
44,NDD1,ACE2,True,refs
45,PLM2,FKH2,True,refs
46,FKH1,CDC20,True,refs
47,YOX1,SWI4,False,refs
48,PLM2,MCM1,True,refs
49,FKH2,CDC20,True,refs
50,CDH1,NRM1,False,refs
51,YHP1,SWI6,False,refs
52,MBP1,CLN1,True,refs
53,CLN2,STB1,False,refs
54,WHI5,MBP1,False,refs
55,PLM2,NDD1,True,refs
56,FKH1,CLB2,True,refs
57,YOX1,MBP1,False,refs
58,SWI4,CLN2,True,refs
59,YHP1,SWI4,False,refs
60,CDH1,FKH2,False,refs
61,CDH1,YHP1,False,refs
62,CLN1,STB1,False,refs
63,YOX1,SWI6,False,refs
64,MBP1,YOX1,True,refs
65,SWI4,HCM1,True,refs
66,CDH1,NDD1,False,refs
67,CLN2,CDH1,False,refs
68,PLM2,FKH1,True,refs
69,CDC20,ACE2,True,refs
70,MBP1,CLN2,True,refs
71,FKH1,SWI5,True,refs
72,FKH1,ACE2,True,refs
73,TOS4,NDD1,True,refs
74,NRM1,SWI6,False,refs
75,SWI6,NRM1,True,refs
76,SWI6,TOS4,True,refs
77,MBP1,HCM1,True,refs
78,NDD1,SWI5,True,refs
79,CDH1,FKH1,False,refs
80,SWI4,CLB6,True,refs
81,FKH2,ACE2,True,refs
82,NDD1,CLB2,True,refs
83,SWI4,CLB5,True,refs
84,STB1,MBP1,False,refs
85,SWI6,YHP1,True,refs
86,TOS4,FKH2,True,refs
87,MBP1,YHP1,True,refs
88,STB1,SWI6,False,refs
89,MCM1,CDC20,True,refs
90,CLN1,CDH1,False,refs
91,CLN3,STB1,False,refs
92,YHP1,MBP1,False,refs
93,CLN2,WHI5,False,refs
94,NRM1,STB1,False,grns
95,SWI5,CDC20,False,grns
96,STB1,CLN1,True,grns
97,WHI5,YHP1,False,grns
98,HCM1,CLB5,False,grns
99,FKH2,CLN3,False,grns
100,ACE2,SWI4,False,grns
101,ACE2,NRM1,False,grns
102,SWI6,SWI6,True,grns
103,YOX1,CLB2,False,grns
104,HCM1,MBP1,True,grns
105,HCM1,YHP1,True,grns
106,FKH2,FKH2,True,grns
107,HCM1,CLB4,True,grns
108,HCM1,SWI4,False,grns
109,YHP1,CDC20,False,grns
110,HCM1,SWI6,True,grns
111,WHI5,HCM1,False,grns
112,YHP1,CLB1,False,grns
113,NRM1,YOX1,False,grns
114,SWI5,FKH1,True,grns
115,SWI5,SWI5,True,grns
116,WHI5,CLB1,False,grns
117,ACE2,SWI5,False,grns
118,MBP1,CLN1,False,grns
119,FKH2,CLB1,False,grns
120,STB1,NRM1,True,grns
121,HCM1,CLB3,True,grns
122,NRM1,CLB6,False,grns
123,WHI5,WHI5,True,grns
124,ACE2,PLM2,False,grns
125,HCM1,TOS4,False,grns
126,WHI5,TOS4,False,grns
127,FKH2,TOS4,False,grns
128,NRM1,YHP1,False,grns
129,WHI5,NRM1,False,grns
130,YHP1,YOX1,False,grns
131,FKH1,MBP1,False,grns
132,FKH1,YHP1,False,grns
133,HCM1,WHI5,True,grns
134,HCM1,HCM1,True,grns
135,STB1,PLM2,True,grns
136,NRM1,NRM1,True,grns
137,FKH1,FKH1,True,grns
138,YOX1,YOX1,True,grns
139,STB1,CLB6,True,grns
140,NRM1,NDD1,False,grns
141,FKH2,CLB6,False,grns
142,SWI5,CLB1,False,grns
143,ACE2,ACE2,True,grns
144,FKH2,MBP1,False,grns
145,HCM1,NRM1,True,grns
146,WHI5,YOX1,False,grns
147,NRM1,CLB3,False,grns
148,SWI5,CLB5,True,grns
149,HCM1,CLN2,False,grns
150,NRM1,CDH1,True,grns
151,FKH2,NDD1,False,grns
152,MBP1,PLM2,False,grns
153,NRM1,WHI5,False,grns
154,NRM1,HCM1,False,grns
155,MBP1,CLB4,False,grns
156,YOX1,TOS4,False,grns
