reg,t_thresh,amp_thresh
ACE2,15,0.5
FKH1,15,0.5
FKH2,15,0.5
HCM1,15,0.5
MBP1,15,0.5
NRM1,15,0.5
STB1,15,0.5
SWI5,15,0.5
SWI6,15,0.5
WHI5,15,0.5
YHP1,15,0.5
YOX1,15,0.5
