,reg,target,act,group
0,STB1,SWI4,False,both
1,SWI6,HCM1,True,both
2,SWI6,CLN1,True,both
3,SWI6,PLM2,True,both
4,SWI6,CLB6,True,both
5,SWI6,YOX1,True,both
6,HCM1,NDD1,True,both
7,SWI6,CLB5,True,both
8,MBP1,CLB6,True,both
9,SWI6,CLN2,True,both
10,HCM1,FKH1,True,both
11,HCM1,FKH2,True,both
12,NRM1,SWI4,False,both
13,FKH1,ACE2,True,refs
14,CDH1,NRM1,False,refs
15,SWI5,CLN3,True,refs
16,SWI4,TOS4,True,refs
17,SWI6,YHP1,True,refs
18,SWI4,NRM1,True,refs
19,MBP1,YHP1,True,refs
20,NDD1,CDC20,True,refs
21,YHP1,SWI4,False,refs
22,MCM1,ACE2,True,refs
23,ACE2,CLN3,True,refs
24,WHI5,MBP1,False,refs
25,SWI4,CLN2,True,refs
26,NDD1,CLB2,True,refs
27,STB1,MBP1,False,refs
28,SWI4,PLM2,True,refs
29,FKH2,CLB2,True,refs
30,CDH1,YOX1,False,refs
31,SWI4,CLB5,True,refs
32,CDH1,FKH1,False,refs
33,SWI4,CLB6,True,refs
34,SWI4,YOX1,True,refs
35,FKH1,SWI5,True,refs
36,SWI4,HCM1,True,refs
37,WHI5,SWI6,False,refs
38,NDD1,ACE2,True,refs
39,CDH1,ACE2,True,refs
40,FKH2,CDC20,True,refs
41,CLN3,STB1,False,refs
42,FKH2,ACE2,True,refs
43,YOX1,SWI4,False,refs
44,STB1,SWI6,False,refs
45,CLN3,WHI5,False,refs
46,PLM2,NDD1,True,refs
47,YHP1,MBP1,False,refs
48,CDH1,NDD1,False,refs
49,PLM2,FKH2,True,refs
50,CDH1,FKH2,False,refs
51,NDD1,SWI5,True,refs
52,TOS4,FKH2,True,refs
53,NRM1,SWI6,False,refs
54,HCM1,MCM1,True,refs
55,FKH1,CDC20,True,refs
56,FKH2,SWI5,True,refs
57,MCM1,SWI5,True,refs
58,CDH1,MCM1,False,refs
59,SWI4,YHP1,True,refs
60,MBP1,TOS4,True,refs
61,SWI6,NRM1,True,refs
62,MBP1,NRM1,True,refs
63,CLN2,STB1,False,refs
64,SWI6,TOS4,True,refs
65,MBP1,CLN2,True,refs
66,TOS4,NDD1,True,refs
67,MBP1,PLM2,True,refs
68,PLM2,FKH1,True,refs
69,YOX1,MBP1,False,refs
70,SWI4,CLN1,True,refs
71,MBP1,CLB5,True,refs
72,TOS4,FKH1,True,refs
73,NRM1,MBP1,False,refs
74,WHI5,SWI4,False,refs
75,CLN2,CDH1,False,refs
76,MBP1,YOX1,True,refs
77,CLN1,CDH1,False,refs
78,CDH1,SWI5,True,refs
79,TOS4,MCM1,True,refs
80,MCM1,CDC20,True,refs
81,PLM2,MCM1,True,refs
82,MBP1,HCM1,True,refs
83,CLN1,STB1,False,refs
84,CDC20,SWI5,True,refs
85,CLN2,WHI5,False,refs
86,CLN1,WHI5,False,refs
87,MCM1,CLB2,True,refs
88,YHP1,SWI6,False,refs
89,FKH1,CLB2,True,refs
90,YOX1,SWI6,False,refs
91,CDC20,ACE2,True,refs
92,CDH1,YHP1,False,refs
93,MBP1,CLN1,True,refs
94,FKH1,MBP1,False,grns
95,SWI5,CDC20,False,grns
96,ACE2,SWI5,False,grns
97,SWI5,FKH1,True,grns
98,YOX1,CLB2,False,grns
99,HCM1,CLN2,False,grns
100,NRM1,NRM1,True,grns
101,FKH2,FKH2,True,grns
102,HCM1,WHI5,True,grns
103,FKH2,TOS4,False,grns
104,WHI5,YHP1,False,grns
105,MBP1,CLB4,False,grns
106,WHI5,CLB1,False,grns
107,ACE2,NRM1,False,grns
108,STB1,PLM2,True,grns
109,YHP1,YOX1,False,grns
110,WHI5,TOS4,False,grns
111,HCM1,SWI6,True,grns
112,WHI5,NRM1,False,grns
113,STB1,CLN1,True,grns
114,FKH2,MBP1,False,grns
115,STB1,CLB6,True,grns
116,HCM1,CLB3,True,grns
117,HCM1,MBP1,True,grns
118,NRM1,CLB6,False,grns
119,NRM1,NDD1,False,grns
120,NRM1,YOX1,False,grns
121,YHP1,CLB1,False,grns
122,MBP1,PLM2,False,grns
123,NRM1,HCM1,False,grns
124,ACE2,PLM2,False,grns
125,HCM1,CLB5,False,grns
126,WHI5,WHI5,True,grns
127,FKH2,CLB6,False,grns
128,HCM1,SWI4,False,grns
129,YHP1,CDC20,False,grns
130,ACE2,ACE2,True,grns
131,YOX1,YOX1,True,grns
132,HCM1,TOS4,False,grns
133,YOX1,TOS4,False,grns
134,SWI6,SWI6,True,grns
135,FKH2,NDD1,False,grns
136,MBP1,CLN1,False,grns
137,ACE2,CLB6,False,grns
138,NRM1,STB1,False,grns
139,NRM1,YHP1,False,grns
140,STB1,NRM1,True,grns
141,HCM1,HCM1,True,grns
142,FKH2,CLN3,False,grns
143,SWI5,CLB1,False,grns
144,HCM1,YHP1,True,grns
145,FKH1,FKH1,True,grns
146,ACE2,NDD1,False,grns
147,SWI5,CLB5,True,grns
148,HCM1,NRM1,True,grns
149,NRM1,WHI5,False,grns
150,WHI5,YOX1,False,grns
151,FKH2,CLB1,False,grns
152,ACE2,SWI4,False,grns
153,HCM1,CLB4,True,grns
154,WHI5,HCM1,False,grns
155,SWI5,SWI5,True,grns
