,reg,target,act,group
0,HCM1,FKH2,True,both
1,SWI6,YOX1,True,both
2,STB1,SWI4,False,both
3,SWI6,CLN1,True,both
4,SWI6,CLN2,True,both
5,NRM1,SWI4,False,both
6,HCM1,FKH1,True,both
7,SWI6,CLB5,True,both
8,SWI6,CLB6,True,both
9,SWI6,HCM1,True,both
10,MBP1,CLB6,True,both
11,HCM1,NDD1,True,both
12,SWI6,PLM2,True,both
13,HCM1,MCM1,True,refs
14,PLM2,FKH1,True,refs
15,YOX1,SWI6,False,refs
16,CDH1,YOX1,False,refs
17,SWI4,TOS4,True,refs
18,NDD1,ACE2,True,refs
19,NDD1,SWI5,True,refs
20,MBP1,CLB5,True,refs
21,FKH1,CDC20,True,refs
22,SWI6,YHP1,True,refs
23,CDH1,SWI5,True,refs
24,SWI4,NRM1,True,refs
25,WHI5,SWI6,False,refs
26,SWI6,TOS4,True,refs
27,YOX1,SWI4,False,refs
28,NRM1,MBP1,False,refs
29,SWI4,CLB5,True,refs
30,CDC20,ACE2,True,refs
31,CDC20,SWI5,True,refs
32,CDH1,NRM1,False,refs
33,FKH2,CLB2,True,refs
34,PLM2,NDD1,True,refs
35,NDD1,CDC20,True,refs
36,CDH1,ACE2,True,refs
37,MBP1,YHP1,True,refs
38,CDH1,MCM1,False,refs
39,NRM1,SWI6,False,refs
40,TOS4,NDD1,True,refs
41,YHP1,MBP1,False,refs
42,SWI6,NRM1,True,refs
43,FKH1,CLB2,True,refs
44,CLN2,STB1,False,refs
45,MBP1,CLN1,True,refs
46,NDD1,CLB2,True,refs
47,CLN2,CDH1,False,refs
48,MBP1,HCM1,True,refs
49,TOS4,FKH2,True,refs
50,SWI4,CLN2,True,refs
51,SWI4,YHP1,True,refs
52,CLN1,STB1,False,refs
53,YHP1,SWI6,False,refs
54,ACE2,CLN3,True,refs
55,SWI4,YOX1,True,refs
56,WHI5,SWI4,False,refs
57,FKH1,ACE2,True,refs
58,FKH1,SWI5,True,refs
59,CLN3,STB1,False,refs
60,MBP1,PLM2,True,refs
61,MBP1,TOS4,True,refs
62,FKH2,ACE2,True,refs
63,FKH2,SWI5,True,refs
64,MBP1,CLN2,True,refs
65,MCM1,CLB2,True,refs
66,FKH2,CDC20,True,refs
67,CDH1,FKH1,False,refs
68,CDH1,YHP1,False,refs
69,STB1,SWI6,False,refs
70,MBP1,NRM1,True,refs
71,MBP1,YOX1,True,refs
72,SWI4,PLM2,True,refs
73,YHP1,SWI4,False,refs
74,STB1,MBP1,False,refs
75,CDH1,FKH2,False,refs
76,MCM1,CDC20,True,refs
77,MCM1,ACE2,True,refs
78,MCM1,SWI5,True,refs
79,CLN2,WHI5,False,refs
80,YOX1,MBP1,False,refs
81,CLN1,CDH1,False,refs
82,SWI4,CLN1,True,refs
83,TOS4,MCM1,True,refs
84,SWI5,CLN3,True,refs
85,CLN1,WHI5,False,refs
86,PLM2,FKH2,True,refs
87,TOS4,FKH1,True,refs
88,SWI4,HCM1,True,refs
89,CDH1,NDD1,False,refs
90,CLN3,WHI5,False,refs
91,PLM2,MCM1,True,refs
92,WHI5,MBP1,False,refs
93,SWI4,CLB6,True,refs
94,YOX1,YOX1,True,grns
95,FKH2,CLB6,False,grns
96,FKH1,FKH1,True,grns
97,FKH2,MBP1,False,grns
98,YOX1,CLB2,False,grns
99,WHI5,YOX1,False,grns
100,FKH2,TOS4,False,grns
101,FKH2,CLN3,False,grns
102,MBP1,PLM2,False,grns
103,SWI6,SWI6,True,grns
104,YHP1,CLB1,False,grns
105,NRM1,YOX1,False,grns
106,HCM1,YHP1,True,grns
107,HCM1,MBP1,True,grns
108,HCM1,CLB3,True,grns
109,ACE2,NRM1,False,grns
110,SWI5,CLB5,True,grns
111,ACE2,SWI5,False,grns
112,NRM1,WHI5,False,grns
113,SWI5,CDC20,False,grns
114,WHI5,NRM1,False,grns
115,SWI5,FKH1,True,grns
116,NRM1,HCM1,False,grns
117,STB1,CLB6,True,grns
118,STB1,PLM2,True,grns
119,HCM1,SWI4,False,grns
120,ACE2,SWI4,False,grns
121,WHI5,HCM1,False,grns
122,HCM1,TOS4,False,grns
123,WHI5,CLB1,False,grns
124,HCM1,NRM1,True,grns
125,MBP1,CLN1,False,grns
126,NRM1,NRM1,True,grns
127,YOX1,TOS4,False,grns
128,ACE2,ACE2,True,grns
129,WHI5,WHI5,True,grns
130,HCM1,CLB5,False,grns
131,FKH2,CLB1,False,grns
132,STB1,NRM1,True,grns
133,SWI5,SWI5,True,grns
134,HCM1,HCM1,True,grns
135,FKH2,FKH2,True,grns
136,HCM1,WHI5,True,grns
137,NRM1,NDD1,False,grns
138,SWI5,CLB1,False,grns
139,STB1,CLN1,True,grns
140,ACE2,PLM2,False,grns
141,FKH1,MBP1,False,grns
142,ACE2,NDD1,False,grns
143,YHP1,CDC20,False,grns
144,MBP1,CLB4,False,grns
145,NRM1,CLB6,False,grns
146,NRM1,YHP1,False,grns
147,ACE2,CLB6,False,grns
148,WHI5,YHP1,False,grns
149,HCM1,CLB4,True,grns
150,HCM1,SWI6,True,grns
151,NRM1,STB1,False,grns
152,YHP1,YOX1,False,grns
153,WHI5,TOS4,False,grns
154,FKH2,NDD1,False,grns
155,HCM1,CLN2,False,grns
