,reg,target,act,group
0,MBP1,CLB5,True,both
1,MBP1,CLB6,True,both
2,MBP1,YOX1,True,both
3,WHI5,MBP1,False,refs
4,PLM2,FKH1,True,refs
5,CLN2,CDH1,False,refs
6,SWI6,HCM1,True,refs
7,CDH1,MCM1,False,refs
8,SWI4,YHP1,True,refs
9,SWI4,CLN2,True,refs
10,ACE2,CLN3,True,refs
11,SWI4,YOX1,True,refs
12,CDH1,YHP1,False,refs
13,CDH1,YOX1,False,refs
14,PLM2,FKH2,True,refs
15,SWI6,NRM1,True,refs
16,CLN3,WHI5,False,refs
17,CLN2,STB1,False,refs
18,YHP1,MBP1,False,refs
19,SWI6,TOS4,True,refs
20,CDH1,SWI5,True,refs
21,NDD1,SWI5,True,refs
22,SWI4,HCM1,True,refs
23,MBP1,PLM2,True,refs
24,TOS4,NDD1,True,refs
25,SWI6,CLB5,True,refs
26,STB1,SWI4,False,refs
27,CDH1,NDD1,False,refs
28,FKH1,SWI5,True,refs
29,SWI5,CLN3,True,refs
30,NRM1,MBP1,False,refs
31,CLN1,WHI5,False,refs
32,CDC20,SWI5,True,refs
33,MCM1,CLB2,True,refs
34,SWI4,CLN1,True,refs
35,CLN1,STB1,False,refs
36,HCM1,FKH2,True,refs
37,PLM2,NDD1,True,refs
38,YOX1,SWI4,False,refs
39,HCM1,FKH1,True,refs
40,YHP1,SWI6,False,refs
41,CDH1,FKH2,False,refs
42,SWI6,PLM2,True,refs
43,SWI6,YOX1,True,refs
44,FKH1,CLB2,True,refs
45,STB1,MBP1,False,refs
46,NDD1,CLB2,True,refs
47,SWI4,TOS4,True,refs
48,TOS4,FKH2,True,refs
49,TOS4,FKH1,True,refs
50,FKH2,CLB2,True,refs
51,HCM1,MCM1,True,refs
52,SWI4,CLB5,True,refs
53,YOX1,MBP1,False,refs
54,SWI6,CLB6,True,refs
55,MCM1,ACE2,True,refs
56,HCM1,NDD1,True,refs
57,MCM1,SWI5,True,refs
58,TOS4,MCM1,True,refs
59,FKH1,ACE2,True,refs
60,SWI6,CLN1,True,refs
61,MBP1,YHP1,True,refs
62,STB1,SWI6,False,refs
63,CDH1,ACE2,True,refs
64,MBP1,CLN2,True,refs
65,NRM1,SWI6,False,refs
66,SWI4,PLM2,True,refs
67,NDD1,ACE2,True,refs
68,SWI4,CLB6,True,refs
69,NRM1,SWI4,False,refs
70,WHI5,SWI6,False,refs
71,MCM1,CDC20,True,refs
72,PLM2,MCM1,True,refs
73,CLN3,STB1,False,refs
74,CDC20,ACE2,True,refs
75,MBP1,HCM1,True,refs
76,FKH1,CDC20,True,refs
77,CLN1,CDH1,False,refs
78,FKH2,ACE2,True,refs
79,WHI5,SWI4,False,refs
80,NDD1,CDC20,True,refs
81,SWI4,NRM1,True,refs
82,CDH1,NRM1,False,refs
83,YOX1,SWI6,False,refs
84,MBP1,CLN1,True,refs
85,SWI6,CLN2,True,refs
86,SWI6,YHP1,True,refs
87,FKH2,SWI5,True,refs
88,CDH1,FKH1,False,refs
89,CLN2,WHI5,False,refs
90,MBP1,NRM1,True,refs
91,YHP1,SWI4,False,refs
92,FKH2,CDC20,True,refs
93,MBP1,TOS4,True,refs
94,MBP1,SWI4,True,grns
95,NRM1,HCM1,False,grns
96,MBP1,CDC20,False,grns
97,MBP1,CLN1,False,grns
98,NRM1,STB1,False,grns
99,YHP1,PLM2,False,grns
100,MBP1,NRM1,False,grns
101,FKH1,STB1,True,grns
102,MBP1,SWI6,False,grns
103,MBP1,NDD1,False,grns
104,STB1,YHP1,True,grns
105,YHP1,YOX1,False,grns
106,MBP1,CLB4,False,grns
107,MBP1,PLM2,False,grns
