,reg,target,act,group
0,SWI6,CLB5,True,both
1,SWI6,HCM1,True,both
2,HCM1,FKH2,True,both
3,MBP1,CLB6,True,both
4,SWI6,CLN2,True,both
5,HCM1,FKH1,True,both
6,NRM1,SWI4,False,both
7,SWI6,PLM2,True,both
8,HCM1,NDD1,True,both
9,SWI6,CLN1,True,both
10,SWI6,CLB6,True,both
11,SWI6,YOX1,True,both
12,STB1,SWI4,False,both
13,MBP1,CLN2,True,refs
14,SWI4,CLN1,True,refs
15,NRM1,SWI6,False,refs
16,HCM1,MCM1,True,refs
17,NDD1,CDC20,True,refs
18,SWI6,NRM1,True,refs
19,FKH2,CLB2,True,refs
20,PLM2,FKH1,True,refs
21,FKH2,ACE2,True,refs
22,CDH1,NDD1,False,refs
23,CLN1,CDH1,False,refs
24,TOS4,FKH1,True,refs
25,CDH1,YHP1,False,refs
26,YHP1,SWI4,False,refs
27,MBP1,YOX1,True,refs
28,CDC20,SWI5,True,refs
29,FKH1,CDC20,True,refs
30,SWI6,TOS4,True,refs
31,MBP1,HCM1,True,refs
32,SWI4,CLB6,True,refs
33,STB1,MBP1,False,refs
34,TOS4,NDD1,True,refs
35,SWI6,YHP1,True,refs
36,MBP1,NRM1,True,refs
37,YHP1,MBP1,False,refs
38,SWI4,CLB5,True,refs
39,WHI5,MBP1,False,refs
40,MBP1,CLN1,True,refs
41,SWI4,YOX1,True,refs
42,FKH1,SWI5,True,refs
43,CDH1,FKH2,False,refs
44,MCM1,SWI5,True,refs
45,CDH1,YOX1,False,refs
46,YOX1,SWI4,False,refs
47,SWI4,HCM1,True,refs
48,YOX1,SWI6,False,refs
49,SWI4,TOS4,True,refs
50,NDD1,SWI5,True,refs
51,MBP1,CLB5,True,refs
52,CDH1,ACE2,True,refs
53,YHP1,SWI6,False,refs
54,MBP1,TOS4,True,refs
55,MCM1,CLB2,True,refs
56,MCM1,ACE2,True,refs
57,SWI4,NRM1,True,refs
58,CLN3,WHI5,False,refs
59,FKH2,CDC20,True,refs
60,CDH1,NRM1,False,refs
61,PLM2,NDD1,True,refs
62,SWI4,YHP1,True,refs
63,CDH1,MCM1,False,refs
64,CDC20,ACE2,True,refs
65,CDH1,FKH1,False,refs
66,SWI5,CLN3,True,refs
67,CLN2,WHI5,False,refs
68,TOS4,FKH2,True,refs
69,NRM1,MBP1,False,refs
70,SWI4,PLM2,True,refs
71,CDH1,SWI5,True,refs
72,FKH2,SWI5,True,refs
73,WHI5,SWI4,False,refs
74,FKH1,CLB2,True,refs
75,FKH1,ACE2,True,refs
76,PLM2,MCM1,True,refs
77,CLN2,STB1,False,refs
78,NDD1,CLB2,True,refs
79,MBP1,PLM2,True,refs
80,NDD1,ACE2,True,refs
81,YOX1,MBP1,False,refs
82,CLN1,STB1,False,refs
83,PLM2,FKH2,True,refs
84,TOS4,MCM1,True,refs
85,SWI4,CLN2,True,refs
86,STB1,SWI6,False,refs
87,CLN3,STB1,False,refs
88,ACE2,CLN3,True,refs
89,MBP1,YHP1,True,refs
90,CLN1,WHI5,False,refs
91,WHI5,SWI6,False,refs
92,CLN2,CDH1,False,refs
93,MCM1,CDC20,True,refs
94,FKH2,CLB1,False,grns
95,MBP1,CLN1,False,grns
96,WHI5,WHI5,True,grns
97,HCM1,SWI4,False,grns
98,NRM1,YOX1,False,grns
99,ACE2,SWI4,False,grns
100,HCM1,CLN2,False,grns
101,HCM1,NRM1,True,grns
102,SWI5,CLB1,False,grns
103,YOX1,TOS4,False,grns
104,NRM1,STB1,False,grns
105,MBP1,CLB4,False,grns
106,HCM1,MBP1,True,grns
107,HCM1,CLB3,True,grns
108,NRM1,NRM1,True,grns
109,WHI5,HCM1,False,grns
110,HCM1,WHI5,True,grns
111,HCM1,YHP1,True,grns
112,FKH2,FKH2,True,grns
113,SWI5,FKH1,True,grns
114,HCM1,CLB4,True,grns
115,HCM1,TOS4,False,grns
116,FKH2,TOS4,False,grns
117,ACE2,PLM2,False,grns
118,WHI5,TOS4,False,grns
119,YOX1,YOX1,True,grns
120,FKH1,MBP1,False,grns
121,ACE2,ACE2,True,grns
122,WHI5,NRM1,False,grns
123,NRM1,HCM1,False,grns
124,FKH1,YHP1,False,grns
125,YOX1,CLB2,False,grns
126,SWI5,CLB5,True,grns
127,STB1,PLM2,True,grns
128,MBP1,PLM2,False,grns
129,YHP1,CDC20,False,grns
130,HCM1,SWI6,True,grns
131,ACE2,SWI5,False,grns
132,NRM1,CLB3,False,grns
133,FKH2,MBP1,False,grns
134,SWI5,CDC20,False,grns
135,FKH2,NDD1,False,grns
136,NRM1,CLB6,False,grns
137,NRM1,NDD1,False,grns
138,NRM1,CDH1,True,grns
139,STB1,CLN1,True,grns
140,STB1,NRM1,True,grns
141,NRM1,WHI5,False,grns
142,WHI5,YHP1,False,grns
143,SWI6,SWI6,True,grns
144,ACE2,NRM1,False,grns
145,FKH2,CLB6,False,grns
146,FKH1,FKH1,True,grns
147,FKH2,CLN3,False,grns
148,NRM1,YHP1,False,grns
149,WHI5,CLB1,False,grns
150,YHP1,YOX1,False,grns
151,YHP1,CLB1,False,grns
152,STB1,CLB6,True,grns
153,WHI5,YOX1,False,grns
154,HCM1,CLB5,False,grns
155,SWI5,SWI5,True,grns
156,HCM1,HCM1,True,grns
