,reg,target,act,group
0,MBP1,YOX1,True,both
1,MBP1,CLB6,True,both
2,MBP1,CLB5,True,both
3,MCM1,CLB2,True,refs
4,FKH1,CDC20,True,refs
5,SWI4,CLB5,True,refs
6,SWI4,CLB6,True,refs
7,TOS4,NDD1,True,refs
8,CLN1,WHI5,False,refs
9,CLN3,STB1,False,refs
10,STB1,SWI4,False,refs
11,PLM2,MCM1,True,refs
12,CLN2,CDH1,False,refs
13,FKH2,CLB2,True,refs
14,CDH1,SWI5,True,refs
15,HCM1,NDD1,True,refs
16,YOX1,SWI6,False,refs
17,FKH2,CDC20,True,refs
18,NDD1,SWI5,True,refs
19,CDH1,FKH2,False,refs
20,SWI4,CLN2,True,refs
21,NDD1,CDC20,True,refs
22,CDC20,SWI5,True,refs
23,FKH1,ACE2,True,refs
24,WHI5,SWI4,False,refs
25,CDH1,MCM1,False,refs
26,SWI4,CLN1,True,refs
27,SWI6,CLN1,True,refs
28,CDH1,FKH1,False,refs
29,YHP1,SWI4,False,refs
30,PLM2,FKH2,True,refs
31,WHI5,SWI6,False,refs
32,TOS4,FKH2,True,refs
33,CDH1,ACE2,True,refs
34,CDH1,NDD1,False,refs
35,MBP1,CLN1,True,refs
36,SWI5,CLN3,True,refs
37,YOX1,MBP1,False,refs
38,YHP1,SWI6,False,refs
39,SWI6,TOS4,True,refs
40,HCM1,FKH2,True,refs
41,CDH1,NRM1,False,refs
42,MBP1,TOS4,True,refs
43,SWI6,CLB5,True,refs
44,MBP1,YHP1,True,refs
45,FKH2,ACE2,True,refs
46,CLN3,WHI5,False,refs
47,YOX1,SWI4,False,refs
48,SWI4,YHP1,True,refs
49,NRM1,SWI4,False,refs
50,NRM1,SWI6,False,refs
51,CLN1,CDH1,False,refs
52,FKH1,CLB2,True,refs
53,TOS4,MCM1,True,refs
54,NDD1,ACE2,True,refs
55,PLM2,NDD1,True,refs
56,MCM1,CDC20,True,refs
57,CLN2,WHI5,False,refs
58,STB1,SWI6,False,refs
59,FKH1,SWI5,True,refs
60,HCM1,MCM1,True,refs
61,FKH2,SWI5,True,refs
62,MCM1,SWI5,True,refs
63,YHP1,MBP1,False,refs
64,WHI5,MBP1,False,refs
65,CDH1,YHP1,False,refs
66,CDH1,YOX1,False,refs
67,NDD1,CLB2,True,refs
68,CDC20,ACE2,True,refs
69,HCM1,FKH1,True,refs
70,MBP1,CLN2,True,refs
71,SWI4,TOS4,True,refs
72,SWI6,PLM2,True,refs
73,CLN1,STB1,False,refs
74,SWI4,HCM1,True,refs
75,SWI6,HCM1,True,refs
76,SWI4,NRM1,True,refs
77,SWI6,NRM1,True,refs
78,CLN2,STB1,False,refs
79,MBP1,PLM2,True,refs
80,SWI6,CLN2,True,refs
81,MBP1,HCM1,True,refs
82,MBP1,NRM1,True,refs
83,SWI4,PLM2,True,refs
84,STB1,MBP1,False,refs
85,NRM1,MBP1,False,refs
86,TOS4,FKH1,True,refs
87,MCM1,ACE2,True,refs
88,ACE2,CLN3,True,refs
89,SWI6,YHP1,True,refs
90,SWI6,CLB6,True,refs
91,SWI4,YOX1,True,refs
92,SWI6,YOX1,True,refs
93,PLM2,FKH1,True,refs
94,MBP1,CLB4,False,grns
95,MBP1,NRM1,False,grns
96,YHP1,PLM2,False,grns
97,MBP1,SWI6,False,grns
98,MBP1,CDC20,False,grns
99,MBP1,NDD1,False,grns
100,NRM1,HCM1,False,grns
101,MBP1,PLM2,False,grns
102,NRM1,STB1,False,grns
103,YHP1,YOX1,False,grns
104,FKH1,STB1,True,grns
105,MBP1,CLN1,False,grns
106,STB1,YHP1,True,grns
107,MBP1,SWI4,True,grns
