,reg,target,act,group
0,SWI6,CLN1,True,both
1,SWI6,HCM1,True,both
2,SWI6,CLN2,True,both
3,SWI6,PLM2,True,both
4,HCM1,NDD1,True,both
5,NRM1,SWI4,False,both
6,HCM1,FKH2,True,both
7,SWI6,CLB6,True,both
8,HCM1,FKH1,True,both
9,SWI6,CLB5,True,both
10,SWI6,YOX1,True,both
11,STB1,SWI4,False,both
12,MBP1,CLB6,True,both
13,FKH1,ACE2,True,refs
14,CDH1,NDD1,False,refs
15,YOX1,SWI6,False,refs
16,CLN1,WHI5,False,refs
17,SWI4,YOX1,True,refs
18,MBP1,HCM1,True,refs
19,FKH1,SWI5,True,refs
20,MBP1,PLM2,True,refs
21,SWI4,CLN1,True,refs
22,PLM2,FKH2,True,refs
23,MBP1,CLN2,True,refs
24,MCM1,CLB2,True,refs
25,CDH1,NRM1,False,refs
26,YHP1,SWI6,False,refs
27,PLM2,MCM1,True,refs
28,ACE2,CLN3,True,refs
29,FKH2,ACE2,True,refs
30,TOS4,MCM1,True,refs
31,NDD1,SWI5,True,refs
32,YOX1,MBP1,False,refs
33,FKH2,SWI5,True,refs
34,MBP1,CLB5,True,refs
35,CLN3,WHI5,False,refs
36,TOS4,NDD1,True,refs
37,SWI4,TOS4,True,refs
38,MCM1,CDC20,True,refs
39,CDH1,YOX1,False,refs
40,SWI6,YHP1,True,refs
41,FKH1,CDC20,True,refs
42,MBP1,YOX1,True,refs
43,SWI4,YHP1,True,refs
44,MCM1,ACE2,True,refs
45,CDC20,ACE2,True,refs
46,TOS4,FKH2,True,refs
47,HCM1,MCM1,True,refs
48,STB1,MBP1,False,refs
49,WHI5,SWI4,False,refs
50,SWI4,CLB5,True,refs
51,CDH1,MCM1,False,refs
52,FKH1,CLB2,True,refs
53,YHP1,SWI4,False,refs
54,NRM1,MBP1,False,refs
55,SWI6,TOS4,True,refs
56,NDD1,CDC20,True,refs
57,WHI5,SWI6,False,refs
58,CLN1,CDH1,False,refs
59,CDH1,ACE2,True,refs
60,SWI4,CLB6,True,refs
61,NDD1,CLB2,True,refs
62,MBP1,TOS4,True,refs
63,NDD1,ACE2,True,refs
64,PLM2,FKH1,True,refs
65,CDH1,SWI5,True,refs
66,YHP1,MBP1,False,refs
67,TOS4,FKH1,True,refs
68,MCM1,SWI5,True,refs
69,FKH2,CLB2,True,refs
70,CDC20,SWI5,True,refs
71,SWI4,HCM1,True,refs
72,CDH1,FKH1,False,refs
73,CDH1,YHP1,False,refs
74,MBP1,YHP1,True,refs
75,NRM1,SWI6,False,refs
76,CLN2,STB1,False,refs
77,SWI4,CLN2,True,refs
78,YOX1,SWI4,False,refs
79,CLN3,STB1,False,refs
80,FKH2,CDC20,True,refs
81,CLN1,STB1,False,refs
82,SWI4,NRM1,True,refs
83,STB1,SWI6,False,refs
84,MBP1,CLN1,True,refs
85,SWI6,NRM1,True,refs
86,CDH1,FKH2,False,refs
87,WHI5,MBP1,False,refs
88,CLN2,WHI5,False,refs
89,SWI4,PLM2,True,refs
90,MBP1,NRM1,True,refs
91,SWI5,CLN3,True,refs
92,PLM2,NDD1,True,refs
93,CLN2,CDH1,False,refs
94,HCM1,CLN2,False,grns
95,FKH2,CLB6,False,grns
96,HCM1,CLB4,True,grns
97,ACE2,SWI4,False,grns
98,YHP1,YOX1,False,grns
99,HCM1,SWI4,False,grns
100,ACE2,ACE2,True,grns
101,NRM1,HCM1,False,grns
102,NRM1,CLB3,False,grns
103,NRM1,WHI5,False,grns
104,WHI5,YHP1,False,grns
105,FKH2,NDD1,False,grns
106,NRM1,NDD1,False,grns
107,STB1,CLN1,True,grns
108,MBP1,PLM2,False,grns
109,WHI5,CLB1,False,grns
110,ACE2,NRM1,False,grns
111,FKH1,FKH1,True,grns
112,FKH1,YHP1,False,grns
113,STB1,NRM1,True,grns
114,STB1,CLB6,True,grns
115,WHI5,NRM1,False,grns
116,FKH2,MBP1,False,grns
117,YHP1,CLB1,False,grns
118,YOX1,TOS4,False,grns
119,ACE2,SWI5,False,grns
120,HCM1,TOS4,False,grns
121,MBP1,CLB4,False,grns
122,FKH1,MBP1,False,grns
123,HCM1,YHP1,True,grns
124,SWI5,CLB1,False,grns
125,YOX1,YOX1,True,grns
126,YOX1,CLB2,False,grns
127,FKH2,CLN3,False,grns
128,NRM1,STB1,False,grns
129,ACE2,PLM2,False,grns
130,NRM1,YOX1,False,grns
131,MBP1,CLN1,False,grns
132,NRM1,CDH1,True,grns
133,HCM1,NRM1,True,grns
134,WHI5,HCM1,False,grns
135,SWI5,SWI5,True,grns
136,SWI5,FKH1,True,grns
137,WHI5,WHI5,True,grns
138,SWI5,CLB5,True,grns
139,YHP1,CDC20,False,grns
140,FKH2,TOS4,False,grns
141,HCM1,CLB5,False,grns
142,STB1,PLM2,True,grns
143,SWI6,SWI6,True,grns
144,HCM1,SWI6,True,grns
145,HCM1,CLB3,True,grns
146,NRM1,CLB6,False,grns
147,WHI5,YOX1,False,grns
148,HCM1,HCM1,True,grns
149,FKH2,FKH2,True,grns
150,HCM1,MBP1,True,grns
151,HCM1,WHI5,True,grns
152,NRM1,NRM1,True,grns
153,NRM1,YHP1,False,grns
154,SWI5,CDC20,False,grns
155,WHI5,TOS4,False,grns
156,FKH2,CLB1,False,grns
