,reg,target,act,group
0,SWI6,YHP1,True,both
1,HCM1,FKH2,True,both
2,FKH2,CLB2,True,both
3,SWI6,CLB5,True,both
4,YOX1,SWI4,False,both
5,SWI6,CLN2,True,both
6,MBP1,TOS4,True,both
7,SWI6,YOX1,True,both
8,MBP1,CLB6,True,both
9,HCM1,NDD1,True,both
10,SWI6,CLB6,True,both
11,SWI6,CLN1,True,both
12,MBP1,CLB5,True,both
13,MBP1,YOX1,True,both
14,HCM1,FKH1,True,both
15,MBP1,HCM1,True,refs
16,NRM1,SWI6,False,refs
17,NDD1,ACE2,True,refs
18,SWI6,HCM1,True,refs
19,ACE2,CLN3,True,refs
20,CLN1,CDH1,False,refs
21,CLN2,STB1,False,refs
22,FKH2,CDC20,True,refs
23,SWI6,PLM2,True,refs
24,TOS4,NDD1,True,refs
25,CDC20,SWI5,True,refs
26,CLN3,STB1,False,refs
27,MBP1,NRM1,True,refs
28,CLN1,WHI5,False,refs
29,SWI4,YOX1,True,refs
30,SWI6,NRM1,True,refs
31,MCM1,CDC20,True,refs
32,WHI5,SWI6,False,refs
33,CDH1,FKH2,False,refs
34,CDC20,ACE2,True,refs
35,WHI5,SWI4,False,refs
36,MCM1,SWI5,True,refs
37,SWI4,CLN1,True,refs
38,NDD1,CLB2,True,refs
39,PLM2,NDD1,True,refs
40,PLM2,MCM1,True,refs
41,PLM2,FKH1,True,refs
42,STB1,MBP1,False,refs
43,SWI4,TOS4,True,refs
44,MCM1,ACE2,True,refs
45,NRM1,SWI4,False,refs
46,MBP1,PLM2,True,refs
47,FKH1,CDC20,True,refs
48,TOS4,MCM1,True,refs
49,MBP1,YHP1,True,refs
50,PLM2,FKH2,True,refs
51,MBP1,CLN2,True,refs
52,SWI4,YHP1,True,refs
53,FKH2,SWI5,True,refs
54,SWI5,CLN3,True,refs
55,FKH1,ACE2,True,refs
56,YHP1,MBP1,False,refs
57,CLN2,WHI5,False,refs
58,NDD1,CDC20,True,refs
59,CLN3,WHI5,False,refs
60,CDH1,NDD1,False,refs
61,HCM1,MCM1,True,refs
62,CDH1,MCM1,False,refs
63,SWI4,HCM1,True,refs
64,TOS4,FKH1,True,refs
65,SWI4,PLM2,True,refs
66,YHP1,SWI6,False,refs
67,CDH1,YHP1,False,refs
68,FKH1,SWI5,True,refs
69,CDH1,NRM1,False,refs
70,SWI4,NRM1,True,refs
71,SWI4,CLB5,True,refs
72,STB1,SWI6,False,refs
73,WHI5,MBP1,False,refs
74,SWI6,TOS4,True,refs
75,CDH1,SWI5,True,refs
76,YOX1,SWI6,False,refs
77,FKH2,ACE2,True,refs
78,MCM1,CLB2,True,refs
79,NRM1,MBP1,False,refs
80,CLN1,STB1,False,refs
81,CDH1,ACE2,True,refs
82,MBP1,CLN1,True,refs
83,CDH1,FKH1,False,refs
84,CDH1,YOX1,False,refs
85,YOX1,MBP1,False,refs
86,NDD1,SWI5,True,refs
87,TOS4,FKH2,True,refs
88,SWI4,CLN2,True,refs
89,SWI4,CLB6,True,refs
90,FKH1,CLB2,True,refs
91,YHP1,SWI4,False,refs
92,CLN2,CDH1,False,refs
93,STB1,SWI4,False,refs
94,HCM1,CLB3,True,grns
95,FKH2,MBP1,False,grns
96,MBP1,CDH1,True,grns
97,MBP1,MCM1,True,grns
98,ACE2,SWI4,False,grns
99,MBP1,CLB4,False,grns
100,MBP1,ACE2,True,grns
101,WHI5,HCM1,False,grns
102,FKH2,HCM1,True,grns
103,FKH1,PLM2,False,grns
104,FKH2,ACE2,False,grns
105,NRM1,CLB5,False,grns
106,FKH1,NDD1,True,grns
107,MBP1,PLM2,False,grns
108,YOX1,YHP1,False,grns
109,MBP1,CDC20,False,grns
110,FKH2,PLM2,False,grns
111,YHP1,YOX1,False,grns
112,SWI6,WHI5,False,grns
113,FKH2,CDC20,False,grns
114,MBP1,CLB1,False,grns
115,HCM1,CLB4,True,grns
116,STB1,HCM1,True,grns
117,FKH2,WHI5,True,grns
118,FKH1,STB1,True,grns
119,WHI5,YOX1,False,grns
120,HCM1,WHI5,True,grns
121,FKH1,FKH2,False,grns
122,YHP1,PLM2,False,grns
123,FKH1,NRM1,False,grns
124,FKH2,STB1,True,grns
125,HCM1,YOX1,False,grns
126,MBP1,NRM1,False,grns
127,WHI5,YHP1,False,grns
128,MBP1,CLN1,False,grns
129,HCM1,PLM2,True,grns
130,YHP1,CLB1,False,grns
131,NRM1,TOS4,False,grns
132,NRM1,HCM1,False,grns
133,FKH1,CLB6,True,grns
134,MBP1,SWI6,False,grns
135,WHI5,CLN2,False,grns
136,YOX1,CLB2,False,grns
137,STB1,CLB6,True,grns
138,HCM1,YHP1,True,grns
139,STB1,YHP1,True,grns
140,NRM1,STB1,False,grns
141,STB1,YOX1,True,grns
142,NRM1,CLB1,False,grns
143,NRM1,PLM2,False,grns
144,HCM1,NRM1,True,grns
145,MBP1,SWI4,True,grns
146,WHI5,NRM1,False,grns
147,FKH2,SWI5,False,grns
148,NRM1,FKH1,False,grns
149,FKH1,SWI4,True,grns
150,STB1,CLN2,True,grns
151,STB1,NRM1,True,grns
152,FKH2,SWI6,False,grns
153,WHI5,CLN1,False,grns
154,WHI5,CLB5,False,grns
155,SWI5,MBP1,False,grns
156,FKH2,CLN1,False,grns
157,HCM1,SWI6,True,grns
158,MBP1,NDD1,False,grns
159,NRM1,YHP1,False,grns
160,FKH1,ACE2,False,grns
161,FKH2,CLN3,False,grns
162,STB1,CLB5,True,grns
163,NRM1,CLB6,False,grns
164,STB1,CLN1,True,grns
