TF,Gene,R_squared_dogbox
STB1,SWI4,0.16217052769983353
STB1,TOS4,0.9983108316731353
STB1,YHP1,0.9419803964388007
STB1,YOX1,0.6813507379874466
SWI5,ACE2,0.5227715557204344
SWI5,CDC20,0.07752634113024193
SWI5,CLB1,0.8221468501739893
SWI5,CLB2,0.6691429342804041
SWI5,CLB3,0.39242175914576505
SWI5,CLB5,0.9681056709946753
SWI5,CLB6,0.9005177267250354
SWI5,CLN1,0.5497986164800539
SWI5,CLN2,0.9717115740035704
SWI5,CLN3,0.7671185471575057
SWI5,FKH1,-2.220446049250313e-16
SWI5,FKH2,0.6656022991967506
SWI5,HCM1,0.0
SWI5,MBP1,0.7355099605501572
SWI5,NDD1,0.6084675206962962
SWI5,NRM1,0.5838125632994484
SWI5,PLM2,0.6876848336038989
SWI5,STB1,0.7548333616135129
SWI5,SWI4,0.9960052618779213
SWI5,SWI6,0.4194178814017163
SWI5,TOS4,0.6189464985113335
SWI5,WHI5,0.13282841266368794
SWI5,YHP1,0.4869661071581869
SWI5,YOX1,0.0
SWI6,ACE2,0.0
SWI6,CLB1,0.8116902923088836
SWI6,CLB4,0.9936480648178677
SWI6,CLB5,0.9863963329416344
SWI6,CLB6,0.9995465124970291
SWI6,CLN1,0.9665586684521595
SWI6,CLN2,0.9896051470077578
SWI6,CLN3,0.0067213155677566805
SWI6,FKH1,0.9182137823361899
SWI6,HCM1,0.9708527056105373
SWI6,MBP1,0.017584686331150623
SWI6,MCM1,0.8118720570064366
SWI6,NDD1,0.24959514668225635
SWI6,NRM1,0.9310876432716595
SWI6,PLM2,0.9953406426893645
SWI6,STB1,0.9224228586444533
SWI6,SWI4,0.9587922906234819
SWI6,SWI5,0.10100153629886444
SWI6,TOS4,0.6188834940585952
SWI6,WHI5,0.45381333063208185
SWI6,YHP1,0.932635928133827
SWI6,YOX1,0.999330746800332
WHI5,CLB1,0.40681809472725394
WHI5,CLB3,0.9834981555199787
WHI5,CLB4,0.9970538732771403
WHI5,CLB5,0.9983168594142274
WHI5,CLB6,0.17096779153566932
WHI5,CLN1,0.986313691344423
WHI5,CLN2,0.20054258624276333
WHI5,CLN3,0.9896354091206209
WHI5,FKH1,1.1102230246251565e-16
WHI5,HCM1,0.14330368513964697
WHI5,NDD1,0.0
WHI5,NRM1,0.15320364271210818
WHI5,PLM2,0.9949970001742778
WHI5,STB1,0.9975140775760816
WHI5,SWI4,0.9977400105683395
WHI5,TOS4,0.1395580287046574
WHI5,YHP1,0.7860122974831317
WHI5,YOX1,0.8891752851519685
YHP1,CDC20,0.9554359980653893
YHP1,CLB1,0.20139309748407264
YHP1,CLB2,0.9683030549819146
YHP1,HCM1,0.06760538092304913
YHP1,PLM2,0.9142024441341092
YHP1,YOX1,0.9847030370050537
YOX1,CDC20,0.37479271127271485
YOX1,CLB2,0.970351522675656
YOX1,CLB6,0.9526720911256328
YOX1,CLN1,0.8312823477416422
YOX1,CLN2,0.2705895629004935
YOX1,CLN3,0.6367422145230591
YOX1,MBP1,0.6292862961907815
YOX1,PLM2,0.04187605530626304
YOX1,STB1,0.5866714274611995
YOX1,SWI4,0.9835426738477745
YOX1,SWI5,2.220446049250313e-16
YOX1,TOS4,0.5063046870430563
YOX1,YHP1,0.20020569265775123
