,TF,Gene,R_squared_lm,R_squared_dogbox_init,R_squared_dogbox
117,NRM1,CLB5,0.961368232,2.22E-16,0.90721146
118,NRM1,CLB6,0.977670886,-2.22E-16,0.977670886
119,NRM1,CLN1,0.475823267,,0
120,NRM1,CLN2,0.890884644,0,0.890884645
121,NRM1,CLN3,0.770710283,0.770710283,0.770710283
122,NRM1,FKH1,0.74096094,0.740960974,0.740960974
123,NRM1,FKH2,0.637181051,0.637181051,0.061969502
124,NRM1,HCM1,0.985133337,0,0.985133337
125,NRM1,MBP1,0.068033566,-2.22E-16,0.068033575
126,NRM1,NDD1,0.942534929,0.494069959,0.936618352
127,NRM1,PLM2,0.97881883,0,0.9363587
128,NRM1,STB1,0.978178862,0,0.978178862
129,NRM1,SWI4,0.689450034,0.658000436,0.619759089
130,NRM1,SWI6,0.658500256,0,0.658500256
131,NRM1,TOS4,0.996550145,0,0.919027178
132,NRM1,WHI5,0.649491964,0,0.399940911
133,NRM1,YHP1,0.996769099,0,0.996769099
134,NRM1,YOX1,0.986373535,0,0.986359885
135,STB1,CLB5,0.998271416,0.998271416,0.998271416
136,STB1,CLB6,0.906459121,0.906459121,0.906459121
137,STB1,CLN1,0.914770897,0.914770897,0.914770897
138,STB1,CLN2,0.731791463,0.731409956,0.731791463
139,STB1,HCM1,0.936966663,0.936966663,0.936966663
140,STB1,NRM1,0.980366099,0.980366099,0.980366099
141,STB1,PLM2,0.998060587,0.998060587,0.998060587
142,STB1,SWI4,0.962465331,0,0.162170528
143,STB1,TOS4,0.998310832,0.998310832,0.998310832
144,STB1,WHI5,0.802213707,,
145,STB1,YHP1,0.941980396,0.941980396,0.941980396
146,STB1,YOX1,0.681350738,0.681350738,0.681350738
147,SWI5,ACE2,,0.522771551,0.522771556
148,SWI5,CDC20,0.944752517,0,0.077526341
149,SWI5,CLB1,0.822146866,-2.22E-16,0.82214685
150,SWI5,CLB2,0.669142934,0,0.669142934
151,SWI5,CLB3,0.271885436,0,0.392421759
152,SWI5,CLB5,0.968105671,0.968105671,0.968105671
153,SWI5,CLB6,0.900517722,0.900517727,0.900517727
154,SWI5,CLN1,0.549798558,0.018276112,0.549798616
155,SWI5,CLN2,0.993256717,,0.971711574
156,SWI5,CLN3,0.767118547,0.767118545,0.767118547
157,SWI5,FKH1,0.790456476,0.790456478,-2.22E-16
158,SWI5,FKH2,0.84048198,0,0.665602299
159,SWI5,HCM1,0.279717707,0.279717707,0
160,SWI5,MBP1,0.73550994,0.735498572,0.735509961
