TF,strain,date,restriction,mechanism,time,GeneName,green_median,red_median,log2_ratio,log2_cleaned_ratio,log2_noise_model,log2_cleaned_ratio_zth2d,log2_selected_timecourses,log2_shrunken_timecourses
ACE2,SMY64,12/16/2015,P,GEV,5.0,CLB3,2250.3355,1814.212,-0.0482384312865,-0.0158127283666,0.0704451062393,-0.0158127283666,-0.0158127283666,-0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,CLB3,2230.756,1764.5475,-0.0747668077232,-0.0153678709608,0.0693086390341,-0.0153678709608,-0.0153678709607,-5.691151357293675e-05
ACE2,SMY64,12/16/2015,P,GEV,15.0,CLB3,2143.2405,1664.7935,-0.103245667124,-0.0912673750457,0.0713089381474,-0.0912673750457,-0.0912673750456,-0.0242507731898212
ACE2,SMY64,12/16/2015,P,GEV,20.0,CLB3,1997.2005,1476.7005,-0.172603501465,-0.131969259925,0.0716788222647,-0.131969259925,-0.131969259925,-0.1016271536613565
ACE2,SMY64,12/16/2015,P,GEV,30.0,CLB3,1993.2925,1328.4155,-0.322954612164,-0.293491289329,0.0850779085437,-0.293491289329,-0.293491289328,-0.2929417736333065
ACE2,SMY64,12/16/2015,P,GEV,45.0,CLB3,2124.9945,1377.4785,-0.363027084369,-0.349172984816,0.090284051447,-0.349172984816,-0.349172984816,-0.3491152666631794
ACE2,SMY64,12/16/2015,P,GEV,90.0,CLB3,2301.077,1571.1755,-0.2880244673,-0.387813407457,0.0993583567984,-0.387813407457,-0.387813407456,-0.3877798249498738
ACE2,SMY64,12/16/2015,P,GEV,0.0,CLB5,1351.1195,1253.4785,0.0,0.0,0.127833498907,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,CLB5,1379.959,1121.894,-0.190708102584,-0.0426405864921,0.120403773362,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,CLB5,1403.6855,1233.7785,-0.0788185574894,0.0285781623204,0.119742403064,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,15.0,CLB5,1436.062,1269.076,-0.0702361793505,0.0619469466755,0.120911208358,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,20.0,CLB5,1290.895,1122.5765,-0.0936408178329,-0.01490787869,0.121129720581,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,30.0,CLB5,1283.7145,1101.1975,-0.113269980764,-0.117277161013,0.129509869002,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,45.0,CLB5,1381.065,1262.7075,-0.0213537468127,-0.0517182863255,0.132987840018,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,90.0,CLB5,1472.938,1628.527,0.252749421513,0.210012362153,0.139307712323,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,0.0,CLB6,289.02355,250.92515,0.0,0.0,0.152662031968,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,CLB6,350.8272,230.1047,-0.399907961843,-0.244421565427,0.142480334695,-0.244421565427,-0.244421565427,-0.0082593912063655
ACE2,SMY64,12/16/2015,P,GEV,10.0,CLB6,364.32085,254.7731,-0.309542630879,-0.11322736123,0.141921880718,-0.11322736123,-0.11322736123,-0.0004193125073699499
ACE2,SMY64,12/16/2015,P,GEV,15.0,CLB6,331.40495,179.41085,-0.68540956191,-0.476216693055,0.142909402915,-0.476216693055,-0.476216693056,-0.4668792437607302
ACE2,SMY64,12/16/2015,P,GEV,20.0,CLB6,295.54065,137.74985,-0.90142029076,-0.800722440978,0.143094326733,-0.800722440978,-0.800722440978,-0.8007222235556508
ACE2,SMY64,12/16/2015,P,GEV,30.0,CLB6,317.40875,118.50395,-1.22588596498,-1.30912192423,0.15025439529,-1.30912192423,-1.30912192423,-1.3091218814302403
ACE2,SMY64,12/16/2015,P,GEV,45.0,CLB6,337.0379,125.33865,-1.22767508222,-1.46106717786,0.153262333036,-1.46106717786,-1.46106717786,-1.4610671614361466
ACE2,SMY64,12/16/2015,P,GEV,90.0,CLB6,349.5448,236.9786,-0.354841104891,-0.733578610491,0.158777252299,-0.733578610491,-0.733578610491,-0.7335752004977076
ACE2,SMY64,12/16/2015,P,GEV,0.0,CLN1,5147.878,6338.1625,0.0,0.0,0.162598350277,0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,5.0,CLN1,6469.8885,6650.1485,-0.259991304782,-0.179609882349,0.15136408215,-0.0,0.0,0.0
ACE2,SMY64,12/16/2015,P,GEV,10.0,CLN1,6466.8825,6151.429,-0.372275650019,-0.0500390240842,0.150838522323,-0.0,0.0,0.0
