,TF,target,num_peaks,num_valleys,mean_curvature,cluster
147,NRM1,CLB5,1,1,-0.010109866383180816,2
148,NRM1,CLB6,1,1,-0.02355105936405403,2
149,NRM1,CLN1,2,2,-0.021037930351456707,4
150,NRM1,CLN2,2,2,0.03212475605727155,4
151,NRM1,CLN3,1,2,0.09569428173039943,1
152,NRM1,FKH1,1,2,0.10408953992398327,1
153,NRM1,FKH2,1,2,0.06113377575487333,1
154,NRM1,HCM1,1,2,0.0518470975874124,1
155,NRM1,MBP1,2,1,-0.1743871678242625,0
156,NRM1,MCM1,1,2,0.15498612493800834,1
157,NRM1,NDD1,1,2,0.06979327759713361,1
158,NRM1,NRM1,1,0,-0.12396565591627673,5
159,NRM1,PLM2,1,1,-0.018032043720676932,2
160,NRM1,STB1,1,2,0.12919018100271884,1
161,NRM1,SWI4,2,2,-0.006382030709782476,4
162,NRM1,SWI5,1,1,-0.06620501605755277,2
163,NRM1,SWI6,2,2,-0.0150594274386317,4
164,NRM1,TOS4,1,1,-0.0007376940760023404,2
165,NRM1,WHI5,2,2,0.09490370705301611,4
166,NRM1,YHP1,1,1,-0.0353818847140799,2
167,NRM1,YOX1,0,1,0.09675247187991771,1
168,STB1,ACE2,1,2,0.08108047122147072,1
169,STB1,CDC20,2,2,0.026193307489557657,4
170,STB1,CDH1,2,3,0.203997483122782,3
171,STB1,CLB1,2,1,-0.08982888233525169,0
172,STB1,CLB2,2,2,-0.0326111846843759,4
173,STB1,CLB3,2,1,-0.1739401671043821,0
174,STB1,CLB4,1,0,-0.17429232283978738,5
175,STB1,CLB5,1,1,-0.030717635158034814,2
176,STB1,CLB6,1,0,-0.021873527891503344,5
177,STB1,CLN1,1,1,-0.02851289783771229,2
178,STB1,CLN2,1,1,0.03347276999129499,2
179,STB1,CLN3,1,2,0.09476008203152234,1
180,STB1,FKH1,2,1,-0.1870788719179414,0
181,STB1,FKH2,2,2,-0.139877718381959,0
182,STB1,HCM1,1,1,-0.05754912000451967,2
183,STB1,MBP1,2,1,-0.1550505286983914,0
184,STB1,MCM1,2,3,0.06437560667778808,3
185,STB1,NDD1,2,2,-0.14617579748465995,0
186,STB1,NRM1,1,1,-0.09427384470499361,2
187,STB1,PLM2,1,0,-0.08582022010222311,5
188,STB1,STB1,2,2,-0.11530178415122327,0
189,STB1,SWI4,1,1,0.006488712807108242,2
190,STB1,SWI5,1,1,0.010659170627263376,2
191,STB1,SWI6,1,1,-0.06463765712662943,2
192,STB1,TOS4,1,1,-0.0546311816822376,2
193,STB1,WHI5,2,2,-0.14555652210439038,0
194,STB1,YHP1,2,1,-0.1469385092389207,0
195,STB1,YOX1,1,1,-0.01753162439621206,2
196,SWI5,ACE2,2,2,0.042719362023075386,4
197,SWI5,CDC20,2,2,0.03402091004799296,4
198,SWI5,CDH1,2,1,-0.028776568969498085,0
199,SWI5,CLB1,2,3,0.1688914864563069,3
200,SWI5,CLB2,2,2,-0.02374952829101727,4
201,SWI5,CLB3,2,3,0.1164671314034495,3
202,SWI5,CLB4,1,2,0.1003192745965836,1
203,SWI5,CLB5,1,0,-0.07092475764673435,5
204,SWI5,CLB6,1,1,-0.06281228585318649,2
205,SWI5,CLN1,2,3,0.13199555144117311,3
206,SWI5,CLN2,3,2,-0.03924820413282755,6
207,SWI5,CLN3,2,2,0.007228705391817858,4
208,SWI5,FKH1,1,1,0.07888703835053028,2
209,SWI5,FKH2,2,2,0.09768214590533733,4
210,SWI5,HCM1,2,1,-0.04806148753870339,0
211,SWI5,MBP1,1,2,0.18994651772690344,1
212,SWI5,MCM1,3,3,0.042711866880590574,3
213,SWI5,NDD1,2,3,0.17964542796964203,3
214,SWI5,NRM1,1,2,0.09877452277221291,1
215,SWI5,PLM2,1,1,0.020001624296167867,2
216,SWI5,STB1,2,2,-0.021969293950447548,4
217,SWI5,SWI4,2,1,-0.0355075379873036,0
218,SWI5,SWI5,1,1,-0.08862994273741405,2
219,SWI5,SWI6,1,1,0.07373307151154454,2
220,SWI5,TOS4,2,1,-0.02897212683399254,0
221,SWI5,WHI5,2,2,-0.048803434516057176,4
222,SWI5,YHP1,2,2,0.04786772284261427,4
223,SWI5,YOX1,1,1,-0.021564978995761118,2
224,SWI6,ACE2,2,2,0.07856135402044712,4
225,SWI6,CDC20,2,2,0.14249091812254983,3
226,SWI6,CDH1,2,1,-0.06754843859289485,0
227,SWI6,CLB1,1,2,0.08162444916066537,1
228,SWI6,CLB2,1,1,0.08081566855357603,2
229,SWI6,CLB3,2,1,-0.05367642198560789,0
230,SWI6,CLB4,0,1,0.007497239787239141,2
231,SWI6,CLB5,1,1,-0.03400018035301269,2
232,SWI6,CLB6,1,1,-0.021046042780562484,2
233,SWI6,CLN1,2,1,-0.09638783299316317,0
234,SWI6,CLN2,1,0,-0.06197138159960996,5
235,SWI6,CLN3,1,1,0.007638911879165634,2
236,SWI6,FKH1,2,1,-0.056097867877326804,0
237,SWI6,FKH2,1,1,-0.0322820532112771,2
238,SWI6,HCM1,2,1,-0.1106073354830946,0
239,SWI6,MBP1,2,2,0.014230065797617451,4
240,SWI6,MCM1,2,2,-0.05466316695621193,4
241,SWI6,NDD1,2,1,-0.11351987863850509,0
242,SWI6,NRM1,1,0,-0.0826356057499891,5
243,SWI6,PLM2,2,1,-0.1264778586700056,0
244,SWI6,STB1,2,1,-0.07168464588605104,0
245,SWI6,SWI4,2,1,-0.007160248768894532,0
246,SWI6,SWI5,1,2,0.11341202901446544,1
247,SWI6,SWI6,1,1,-0.08910949063325102,2
248,SWI6,TOS4,1,1,-0.08918099697981341,2
249,SWI6,WHI5,2,3,0.045011511550688756,3
250,SWI6,YHP1,1,1,0.009560296790580378,2
251,SWI6,YOX1,2,2,-0.028430202305107226,4
252,WHI5,ACE2,1,1,-0.03604395904056576,2
253,WHI5,CDC20,3,3,0.10243324546693425,3
