,start,end,path,graph,time
137,CLB2,WHI5,,grn,
138,CLB2,YHP1,,grn,
139,CLB2,YOX1,,grn,
140,CLB3,ACE2,,grn,
141,CLB3,CDC20,,grn,
142,CLB3,CDH1,,grn,
143,CLB3,CLB1,,grn,
144,CLB3,CLB2,,grn,
145,CLB3,CLB3,,grn,
146,CLB3,CLB4,,grn,
147,CLB3,CLB5,,grn,
148,CLB3,CLB6,,grn,
149,CLB3,CLN1,,grn,
150,CLB3,CLN2,,grn,
151,CLB3,CLN3,,grn,
152,CLB3,FKH1,,grn,
153,CLB3,FKH2,,grn,
154,CLB3,HCM1,,grn,
155,CLB3,MBP1,,grn,
156,CLB3,MCM1,,grn,
157,CLB3,NDD1,,grn,
158,CLB3,NRM1,,grn,
159,CLB3,PLM2,,grn,
160,CLB3,STB1,,grn,
161,CLB3,SWI4,,grn,
162,CLB3,SWI5,,grn,
163,CLB3,SWI6,,grn,
164,CLB3,TOS4,,grn,
165,CLB3,WHI5,,grn,
166,CLB3,YHP1,,grn,
167,CLB3,YOX1,,grn,
168,CLB4,ACE2,,grn,
169,CLB4,CDC20,,grn,
170,CLB4,CDH1,,grn,
171,CLB4,CLB1,,grn,
172,CLB4,CLB2,,grn,
173,CLB4,CLB3,,grn,
174,CLB4,CLB4,,grn,
175,CLB4,CLB5,,grn,
176,CLB4,CLB6,,grn,
177,CLB4,CLN1,,grn,
178,CLB4,CLN2,,grn,
179,CLB4,CLN3,,grn,
180,CLB4,FKH1,,grn,
181,CLB4,FKH2,,grn,
182,CLB4,HCM1,,grn,
183,CLB4,MBP1,,grn,
184,CLB4,MCM1,,grn,
185,CLB4,NDD1,,grn,
186,CLB4,NRM1,,grn,
187,CLB4,PLM2,,grn,
188,CLB4,STB1,,grn,
189,CLB4,SWI4,,grn,
190,CLB4,SWI5,,grn,
191,CLB4,SWI6,,grn,
192,CLB4,TOS4,,grn,
193,CLB4,WHI5,,grn,
194,CLB4,YHP1,,grn,
195,CLB4,YOX1,,grn,
196,CLB5,ACE2,,grn,
197,CLB5,CDC20,,grn,
