TF,Gene,R_squared_dogbox_init
SWI6,CLB1,0.8116902921023061
SWI6,CLB4,0.7984299042903807
SWI6,CLB5,0.986396332950165
SWI6,CLB6,0.9995465124970291
SWI6,CLN1,0.966558668432439
SWI6,CLN2,0.9896051470049227
SWI6,CLN3,0.8816529980761924
SWI6,HCM1,0.9708527055937943
SWI6,MBP1,1.1102230246251565e-16
SWI6,MCM1,0.8118720571550959
SWI6,NDD1,0.12686300124287897
SWI6,NRM1,0.9494609623865853
SWI6,PLM2,0.9953406426893088
SWI6,STB1,0.8804495034449732
SWI6,SWI4,0.957379878338952
SWI6,SWI5,0.1189155378920812
SWI6,TOS4,0.6188834940586003
SWI6,WHI5,0.49202172187921145
SWI6,YHP1,0.9326359295289117
SWI6,YOX1,0.9993307468402293
WHI5,CLB1,0.0
WHI5,CLB3,0.0
WHI5,CLB4,1.1102230246251565e-16
WHI5,CLB5,0.0
WHI5,CLB6,0.99628514404031
WHI5,CLN1,-2.220446049250313e-16
WHI5,CLN2,-2.220446049250313e-16
WHI5,CLN3,0.98963540624043
WHI5,FKH1,0.0
WHI5,HCM1,-2.220446049250313e-16
WHI5,NDD1,2.220446049250313e-16
WHI5,NRM1,0.0
WHI5,PLM2,0.0
WHI5,STB1,0.9975140775763959
WHI5,SWI4,0.0
WHI5,TOS4,0.0
WHI5,YHP1,0.0
WHI5,YOX1,0.0
YHP1,CDC20,0.9554359980609534
YHP1,CLB1,0.0
YHP1,CLB2,1.1102230246251565e-16
YHP1,HCM1,0.0
YHP1,PLM2,0.9142024487591982
YHP1,YOX1,0.0
YOX1,CDC20,0.0
YOX1,CLB2,-2.220446049250313e-16
YOX1,CLN1,-2.220446049250313e-16
YOX1,CLN2,0.0
YOX1,CLN3,1.1102230246251565e-16
YOX1,MBP1,0.6292862961508431
YOX1,PLM2,-2.220446049250313e-16
YOX1,STB1,0.0
YOX1,SWI4,0.0
YOX1,SWI5,2.220446049250313e-16
YOX1,TOS4,-2.220446049250313e-16
YOX1,YHP1,0.0
ACE2,CLB2,-2.220446049250313e-16
ACE2,CLB3,0.0
ACE2,CLB6,0.0
ACE2,CLN1,0.4028092866575891
ACE2,CLN2,0.11392951140799468
ACE2,CLN3,0.3867810606714758
ACE2,HCM1,0.0
ACE2,NDD1,0.8731232743749735
ACE2,NRM1,-2.220446049250313e-16
ACE2,PLM2,0.0
ACE2,STB1,0.0
ACE2,SWI4,-2.220446049250313e-16
ACE2,SWI5,0.0
ACE2,TOS4,1.1102230246251565e-16
ACE2,WHI5,2.220446049250313e-16
ACE2,YHP1,0.9978313645389747
ACE2,YOX1,0.0
FKH1,ACE2,0.0
FKH1,CDC20,0.6848357047076477
FKH1,CLB1,3.101654024317835e-05
FKH1,CLB2,0.4657970205023404
FKH1,CLB3,0.9312606861964113
FKH1,CLB4,-2.220446049250313e-16
FKH1,CLB5,0.8574709297833474
FKH1,CLB6,0.0
FKH1,CLN1,0.0
FKH1,CLN2,0.0
FKH1,CLN3,0.006123667650188014
FKH1,FKH2,-2.220446049250313e-16
FKH1,MBP1,0.0
FKH1,NDD1,0.0
FKH1,NRM1,-2.220446049250313e-16
FKH1,PLM2,0.9879361223701246
FKH1,STB1,0.2060704269425444
FKH1,SWI4,0.8824607255851241
FKH1,YHP1,0.9961598029461006
FKH1,YOX1,0.07263760796424457
FKH2,ACE2,0.0
FKH2,CDC20,2.220446049250313e-16
FKH2,CDH1,0.8600072303962245
