TF,Gene,t_1/2,amp,R_squared_trf
ACE2,CLB1,0.0386283988298314,-2269.6568217383324,0.9419634919853201
ACE2,CLB2,0.07894556249474208,-0.4182519411014188,0.8876300802460444
ACE2,CLB3,0.14872881893393577,-0.437056675829652,0.989177087581061
ACE2,CLB6,0.2283668731037766,-1.356774414938269,0.9718060130780009
ACE2,CLN1,0.038264677697914265,-205.91145297957817,0.6578801495954283
ACE2,CLN2,5.1781071398360385,0.21388940529239653,0.7461518374146469
ACE2,CLN3,-4.718154899638044,-0.12784851526619892,0.38678106061354234
ACE2,FKH1,0.06229917090844246,-7049.919294994296,0.7628673206501747
ACE2,HCM1,0.2618054787153267,-0.4038492075944166,0.9671740868661403
ACE2,NDD1,0.031105395846169184,-758.2370185647756,0.8733493023721313
ACE2,NRM1,5.080439293323377,-0.7136526458237765,0.9953023743232373
ACE2,PLM2,0.23553457981885845,-0.6049124156651962,0.9973075003937972
ACE2,STB1,0.5373309380468807,-0.24212118409880687,0.6289335675789118
ACE2,SWI4,0.09243815156063492,-1.440252454167242,0.7982852646820673
ACE2,SWI5,0.8055250385129912,-0.3214112362032674,0.9262363342988137
ACE2,TOS4,0.2453430502496961,-0.7527297149351224,0.9990003958825927
ACE2,WHI5,6.52193705297228,0.19461260645228218,0.41424717141700484
ACE2,YHP1,0.06512869229470408,-2.3333773508849016,0.997831364538998
ACE2,YOX1,0.37647129679843305,-0.6484910455947858,0.9127392592216047
FKH1,ACE2,2.836245677957686,-0.3663211173289943,0.8827962198179997
FKH1,CDC20,0.08432538802691592,625.0468770309807,0.715365561122862
FKH1,CLB1,4.182620373518299,0.17561321024462767,0.45505286288000024
FKH1,CLB2,1.2023086750374388,-1.0561059252326601,0.8263763115986347
FKH1,CLB3,2.2974323511110035,-0.2902072403724875,0.931260681321858
FKH1,CLB4,0.568780726700827,-2.106725229857023,0.998923365247142
FKH1,CLB5,2.33275359309702,0.2798072832910031,0.8574709183917095
FKH1,CLB6,5.404617938808637,-0.3031205270170474,0.903176309938636
FKH1,CLN1,0.9082056703397162,-0.14602436732149396,0.6077708203620039
FKH1,CLN2,-2.5210815108086373,0.1815400081007679,0.3244307513227511
FKH1,CLN3,1.5373282813713351,0.09608906628221674,0.020758141476583725
FKH1,FKH2,2.8475733899237947,-1.5449061067216092,0.9993997117007777
FKH1,MBP1,0.17926660276008702,-0.6955159645637111,0.9787417128929159
FKH1,NDD1,0.37749914455176775,-1.28627488971491,0.9598938419572831
FKH1,NRM1,4.87638185748492,-1.3403420157720005,0.9905166219260421
FKH1,PLM2,2.771128871063646,-1.0222864061474937,0.987936120923182
FKH1,STB1,10.876460486672078,0.2846035779330006,0.9238696874677165
FKH1,SWI4,1.0315364110189587,0.24329159481545082,0.8824607255925788
FKH1,SWI5,0.048313836127843,-12992.566654033857,0.9912891518704607
FKH1,SWI6,0.02017121191218206,-14848.363931496111,0.9990744287599124
FKH1,WHI5,1.1920367604476911,-4.699619577933735,0.9273804988810503
FKH1,YHP1,0.41563147686397495,-1.2264472585754502,0.9961598029389477
FKH1,YOX1,1.4069299842755503,0.26683186857145885,0.16342337493597814
FKH2,ACE2,5.587690364987182,-0.6953753656638829,0.8841531613381802
FKH2,CDC20,2.9463615455378256,-0.7347320542268425,0.9521192016996953
FKH2,CDH1,0.7974534645377916,0.5182597806796627,0.8600036278016301
FKH2,CLB1,3.318874210310659,-0.931994016257186,0.9829618642208002
FKH2,CLB2,5.464058510178498,0.30560929754698957,0.3213564497887885
FKH2,CLB3,2.813636873285729,-0.3511202892128044,0.5763517600634108
FKH2,CLB4,0.4270568089402368,-2.3993132862044986,0.9997923618987835
FKH2,CLB6,2.96609011842195,-0.9977921174879383,0.9800069206438103
FKH2,CLN1,2.679118084094553,-0.4621666933661187,0.5132225384552938
FKH2,CLN2,0.37009759833585715,-0.6462359319155713,0.9917263681684474
FKH2,CLN3,-8.057003318323593,0.37133674655621035,0.5850038565686033
FKH2,FKH1,2.7021352761216133,-2.3754327321111406,0.9933054581494236
FKH2,HCM1,0.0008404165698316031,-6.046838081352221,0.026016029516023775
FKH2,MBP1,-3.1190237191647125,0.5946910161642003,0.9219429913544571
FKH2,MCM1,0.00040949282643430913,18.06965219669866,0.06172262021825914
FKH2,NDD1,3.8583036199396745,-1.312215844925178,0.9609406507034023
FKH2,NRM1,0.3879435447836829,-1.0014604581336422,0.9977898370079116
FKH2,PLM2,2.928291231547464,-1.9281972393937616,0.9802551349304774
FKH2,STB1,0.05732730057189506,953.8714298205794,0.8157199732479359
FKH2,SWI4,0.07112721124140724,6180.822149461624,0.8790676247590833
FKH2,SWI5,3.325895582287485,-1.3607199890348174,0.9899558192303748
FKH2,SWI6,4.293561047717316,-0.6523980116247671,0.9509038862581218
FKH2,TOS4,2.9027676019461106,-0.40593247788258574,0.6623313595987951
FKH2,WHI5,8.471369331998092,-0.5783861221020276,0.5265328721862299
FKH2,YHP1,1.1512288748410393,-3.581734994082034,0.9959121295478426
FKH2,YOX1,4.319364763902264,-0.5070399964168459,0.9894044579248726
HCM1,CDC20,3.697473600715883,-0.15649562997534855,0.8869275650128624
HCM1,CLB3,0.41979495555108076,0.8058672386773957,0.99744397967856
HCM1,CLB4,0.4683872884398871,1.070397357174301,0.9969989294166942
HCM1,CLB5,0.3460289970797974,-0.3700762031440733,0.9884536050750894
HCM1,CLB6,3.291472669537027,0.18034873399646326,0.7553892661363247
HCM1,CLN1,0.11322982370924484,-1139.5730365970921,0.9425491064301327
HCM1,CLN2,0.3039554971347035,-0.19917448284995695,0.9390001665217832
HCM1,CLN3,7.611700090461833,-0.15707988527703334,0.7661414208411993
HCM1,FKH1,0.4915129930247413,1.1061976945481424,0.9887526237080259
HCM1,FKH2,0.4073854766699594,0.6141151460512383,0.9989549715529844
HCM1,MBP1,0.32883011632476444,0.7922866038978673,0.9903781330864437
HCM1,NDD1,0.46141924920086946,1.1024696188431435,0.9991656769348725
HCM1,NRM1,0.5177210887705708,1.0453018110232568,0.9975929177109143
HCM1,PLM2,0.35258204289233147,0.44500926379848316,0.9882119577647058
HCM1,SWI4,0.1451630928585614,-0.6624256364895086,0.9371954306310117
HCM1,SWI5,0.2145126415785409,0.32166858174123064,0.9888560473320562
HCM1,SWI6,0.5016182847841834,0.6672784793297941,0.9893966343184272
HCM1,TOS4,2.460383973391888,-0.21125142919430726,0.9327856595182857
HCM1,WHI5,0.40309354430993133,0.8752114742850905,0.9975542734356102
HCM1,YHP1,0.38348587270117396,0.6990041616261837,0.9816743585618033
HCM1,YOX1,0.600842984875282,-0.23431261974368825,0.9094140086401283
MBP1,ACE2,1.2374710532639004,0.4740693489401628,0.938801021136964
MBP1,CDC20,0.2548526736399848,-0.6190865459849462,0.9999999999999972
MBP1,CDH1,1.1929508574509091,0.349566530094734,0.858448866719032
MBP1,CLB1,1.0017595170449287,-0.8511246945250306,0.9992761636984554
MBP1,CLB3,1.2635492197962097,-0.16413305756726723,0.7806008276302934
MBP1,CLB4,-0.21837924944599785,0.46098773215226235,0.9999999999999516
MBP1,CLB5,0.2192335112325043,0.9878364924008255,0.9999999999999912
MBP1,CLB6,0.11378156670623055,1.9005593394485765,0.999999999999996
MBP1,CLN1,-0.06391802424548469,1.1103791343805696,0.999999999999136
MBP1,CLN3,1.1227249783225166,0.17224205992036523,0.2561122579054407
MBP1,FKH1,1.281371782468528,0.18710466718692273,0.950521808497089
