#Timeseries was cleaned using the following cleaning methods: 
#Duplicate Handling: none 
#Low Expression Handling: none 
#Truncation: none 
#Stripey Handling: quantile normalization
time_points	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245
ETS1-1	69.85130000000001	24.3212	22.9766	24.543133333333326	20.418066666666665	22.237649999999995	27.036000000000005	34.07073333333333	23.164533333333335	22.83413333333333	25.66866666666667	25.937049999999996	24.414266666666666	22.72500000000001	25.264800000000005	17.924799999999998	19.0937	15.818333333333333	12.687199999999999	14.999933333333326	19.337466666666668	22.677400000000002	22.7877	24.349950000000003	23.445400000000003	23.6512	26.1537	26.8414	30.6639	24.336700000000008	24.8632	26.44326666666666	23.769399999999997	21.285666666666668	25.300200000000004	26.45533333333333	28.594733333333334	30.738000000000007	30.489299999999997	35.878400000000006	37.9359	37.33109999999999	40.15599999999999	37.80399999999999	37.150400000000005	38.3995	40.8591	42.73266666666667	38.918499999999995	46.412300000000016
ETS1-2	69.85130000000001	24.3212	22.9766	24.543133333333326	20.418066666666665	22.237649999999995	27.036000000000005	34.07073333333333	23.164533333333335	22.83413333333333	25.66866666666667	25.937049999999996	24.414266666666666	22.72500000000001	25.264800000000005	17.924799999999998	19.0937	15.818333333333333	12.687199999999999	14.999933333333326	19.337466666666668	22.677400000000002	22.7877	24.349950000000003	23.445400000000003	23.6512	26.1537	26.8414	30.6639	24.336700000000008	24.8632	26.44326666666666	23.769399999999997	21.285666666666668	25.300200000000004	26.45533333333333	28.594733333333334	30.738000000000007	30.489299999999997	35.878400000000006	37.9359	37.33109999999999	40.15599999999999	37.80399999999999	37.150400000000005	38.3995	40.8591	42.73266666666667	38.918499999999995	46.412300000000016
ETS2-1	0.0044798099762470315	0.0	6.529562982005141e-05	0.0010419753086419756	0.0002883838383838384	0.00024101265822784812	0.0009262376237623765	0.0054584905660377365	2.2797927461139893e-05	0.0019732360097323605	0.001453921568627451	0.001453921568627451	0.00024101265822784812	0.001453921568627451	0.0016122249388753058	0.03514327731092437	0.0005510000000000001	0.007324941724941727	0.016041163310961972	0.00024101265822784812	0.0001336734693877551	0.00418	0.006169483568075119	0.001787317073170732	0.00334052757793765	0.0011674876847290643	0.0044798099762470315	0.00024101265822784812	0.0021694174757281555	0.0007223880597014927	0.0007223880597014927	0.001453921568627451	0.0023753026634382567	0.00016335877862595422	0.00024101265822784812	0.00815127610208817	0.00418	0.0008203473945409431	1.7142857142857142e-05	2.2797927461139893e-05	0.0023753026634382567	0.00010895140664961637	0.0011674876847290643	0.0006329177057356609	0.00418	0.0013056511056511058	0.0006329177057356609	6.529562982005141e-05	0.0006329177057356609	0.00047218045112781967
ETS2-2	0.0044798099762470315	0.0	6.529562982005141e-05	0.0010419753086419756	0.0002883838383838384	0.00024101265822784812	0.0009262376237623765	0.0054584905660377365	2.2797927461139893e-05	0.0019732360097323605	0.001453921568627451	0.001453921568627451	0.00024101265822784812	0.001453921568627451	0.0016122249388753058	0.03514327731092437	0.0005510000000000001	0.007324941724941727	0.016041163310961972	0.00024101265822784812	0.0001336734693877551	0.00418	0.006169483568075119	0.001787317073170732	0.00334052757793765	0.0011674876847290643	0.0044798099762470315	0.00024101265822784812	0.0021694174757281555	0.0007223880597014927	0.0007223880597014927	0.001453921568627451	0.0023753026634382567	0.00016335877862595422	0.00024101265822784812	0.00815127610208817	0.00418	0.0008203473945409431	1.7142857142857142e-05	2.2797927461139893e-05	0.0023753026634382567	0.00010895140664961637	0.0011674876847290643	0.0006329177057356609	0.00418	0.0013056511056511058	0.0006329177057356609	6.529562982005141e-05	0.0006329177057356609	0.00047218045112781967
HRA1	0.9464999999999996	0.30255	0.6124	0.5062000000000002	0.29059999999999997	0.11840000000000002	0.18796000000000007	0.0054584905660377365	2.2797927461139893e-05	0.33512	0.40910000000000013	0.8926000000000001	0.15125000000000005	0.18320000000000008	0.35848	0.03514327731092437	0.6616000000000001	0.007324941724941727	1.0203000000000002	0.4368	0.0436	0.5318	0.5147	0.29794999999999994	0.2814	0.3918	0.4513999999999999	0.4695600000000001	0.0021694174757281555	0.0007223880597014927	0.1983333333333334	0.001453921568627451	0.24189999999999995	0.28855	0.00024101265822784812	0.2256	0.00418	0.2761333333333333	0.0084	0.23859999999999998	0.0023753026634382567	0.5400000000000001	0.18540000000000012	0.06713333333333334	0.00418	0.322	0.10500000000000004	0.327225	0.2761333333333333	0.00047218045112781967
ICR1	4.256000000000001	4.093999999999999	2.0816500000000002	2.0778	2.5624000000000002	4.4315999999999995	4.0472	4.054866666666666	3.6293000000000006	4.2204	3.8588999999999993	3.879733333333333	3.295960000000001	4.1644	5.138933333333332	6.479399999999999	6.230699999999999	5.3016	4.914333333333333	4.713066666666667	4.5915333333333335	3.5875999999999992	3.6607000000000003	4.696100000000001	3.8297999999999996	3.911866666666667	4.4857000000000005	4.685600000000001	5.1887333333333325	3.96708	4.6294	4.47185	4.0304	4.137250000000001	4.141400000000001	3.4631999999999987	3.5493999999999994	3.0874	3.3838399999999993	3.6704999999999997	4.013933333333334	4.286266666666666	4.3394	4.308133333333333	4.689000000000002	5.478066666666668	5.7418	5.153599999999999	5.3782000000000005	4.0771999999999995
IRT1	8.6564	5.0813999999999995	4.878	3.8717999999999995	3.760399999999999	3.6654666666666667	4.1506	4.778299999999999	5.171850000000001	5.409133333333333	4.2277000000000005	5.301240000000001	4.054866666666666	5.431500000000001	5.220600000000001	4.1232	5.247399999999999	4.804800000000001	5.61928	6.246466666666667	4.924200000000001	4.8162	6.303099999999999	5.168266666666668	6.022950000000001	6.741866666666668	4.5716	5.087400000000001	4.6706	6.429679999999999	5.7706	5.382099999999999	6.333640000000001	5.806999999999999	5.702900000000002	6.112933333333334	7.528600000000001	5.6354999999999995	6.635	6.030400000000002	5.896000000000001	6.153333333333333	5.892800000000001	5.474600000000001	5.515266666666666	5.8439	5.933666666666668	5.240466666666666	6.231349999999999	5.071333333333334
ITS1-1	0.0044798099762470315	0.0	6.529562982005141e-05	0.0010419753086419756	0.0002883838383838384	0.00024101265822784812	0.0009262376237623765	0.0054584905660377365	2.2797927461139893e-05	0.0019732360097323605	0.001453921568627451	0.001453921568627451	0.00024101265822784812	0.001453921568627451	0.0016122249388753058	0.03514327731092437	0.0005510000000000001	0.007324941724941727	0.016041163310961972	0.00024101265822784812	0.0001336734693877551	0.00418	0.006169483568075119	0.001787317073170732	0.00334052757793765	0.0011674876847290643	0.0044798099762470315	0.00024101265822784812	0.0021694174757281555	0.0007223880597014927	0.0007223880597014927	0.001453921568627451	0.0023753026634382567	0.00016335877862595422	0.00024101265822784812	0.00815127610208817	0.00418	0.0008203473945409431	1.7142857142857142e-05	2.2797927461139893e-05	0.0023753026634382567	0.00010895140664961637	0.0011674876847290643	0.0006329177057356609	0.00418	0.0013056511056511058	0.0006329177057356609	6.529562982005141e-05	0.0006329177057356609	0.00047218045112781967
ITS1-2	0.0044798099762470315	0.0	6.529562982005141e-05	0.0010419753086419756	0.0002883838383838384	0.00024101265822784812	0.0009262376237623765	0.0054584905660377365	2.2797927461139893e-05	0.0019732360097323605	0.001453921568627451	0.001453921568627451	0.00024101265822784812	0.001453921568627451	0.0016122249388753058	0.03514327731092437	0.0005510000000000001	0.007324941724941727	0.016041163310961972	0.00024101265822784812	0.0001336734693877551	0.00418	0.006169483568075119	0.001787317073170732	0.00334052757793765	0.0011674876847290643	0.0044798099762470315	0.00024101265822784812	0.0021694174757281555	0.0007223880597014927	0.0007223880597014927	0.001453921568627451	0.0023753026634382567	0.00016335877862595422	0.00024101265822784812	0.00815127610208817	0.00418	0.0008203473945409431	1.7142857142857142e-05	2.2797927461139893e-05	0.0023753026634382567	0.00010895140664961637	0.0011674876847290643	0.0006329177057356609	0.00418	0.0013056511056511058	0.0006329177057356609	6.529562982005141e-05	0.0006329177057356609	0.00047218045112781967
ITS2-1	47.906499999999994	38.318400000000004	37.4812	55.90270000000001	73.3041	102.04909999999998	68.8374	123.9948	10.276299999999999	21.7925	37.18386666666667	29.4163	53.447466666666664	73.34	79.30539999999999	7.647833333333332	17.896549999999998	16.39853333333333	11.654733333333334	18.2815	36.63624999999999	42.8486	14.195200000000002	23.731699999999996	14.799	23.686799999999995	21.3457	38.30506666666667	44.36099999999999	23.1962	20.26813333333334	33.93836	24.891299999999994	22.558999999999997	18.503300000000003	32.997299999999996	28.888499999999997	21.889450000000004	14.606150000000003	19.7408	22.996	29.097199999999997	57.16589999999999	23.626400000000007	38.758099999999985	63.0736	100.15639999999999	121.059	43.120400000000004	47.415400000000005
