,group1,group2,tf,target,sign
0,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",SWI4,HCM1,True
1,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",SWI4,PLM2,True
2,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",SWI4,TOS4,True
3,"[SWI4,SWI6]","[CLN1,CLN2]",SWI4,CLN1,True
4,"[SWI4,SWI6]","[CLN1,CLN2]",SWI4,CLN2,True
5,"[SWI4,SWI6]","[CLB5,CLB6]",SWI4,CLB5,True
6,"[SWI4,SWI6]","[CLB5,CLB6]",SWI4,CLB6,True
7,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",SWI4,YOX1,True
8,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",SWI4,YHP1,True
9,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",SWI4,NRM1,True
10,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",SWI6,HCM1,True
11,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",SWI6,PLM2,True
12,"[SWI4,SWI6]","[HCM1,PLM2,TOS4]",SWI6,TOS4,True
13,"[SWI4,SWI6]","[CLN1,CLN2]",SWI6,CLN1,True
14,"[SWI4,SWI6]","[CLN1,CLN2]",SWI6,CLN2,True
15,"[SWI4,SWI6]","[CLB5,CLB6]",SWI6,CLB5,True
16,"[SWI4,SWI6]","[CLB5,CLB6]",SWI6,CLB6,True
17,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",SWI6,YOX1,True
18,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",SWI6,YHP1,True
19,"[SWI4,SWI6]","[YOX1,NRM1,YHP1]",SWI6,NRM1,True
20,"[MBP1,SWI6]","[CLB5,CLB6]",MBP1,CLB5,True
21,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",MBP1,YOX1,True
22,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",MBP1,HCM1,True
23,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",MBP1,PLM2,True
24,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",MBP1,TOS4,True
25,"[MBP1,SWI6]","[CLN1,CLN2]",MBP1,CLN1,True
26,"[MBP1,SWI6]","[CLN1,CLN2]",MBP1,CLN2,True
27,"[MBP1,SWI6]","[CLB5,CLB6]",MBP1,CLB6,True
28,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",MBP1,YHP1,True
29,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",MBP1,NRM1,True
30,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",SWI6,HCM1,True
31,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",SWI6,PLM2,True
32,"[MBP1,SWI6]","[HCM1,PLM2,TOS4]",SWI6,TOS4,True
33,"[MBP1,SWI6]","[CLN1,CLN2]",SWI6,CLN1,True
34,"[MBP1,SWI6]","[CLN1,CLN2]",SWI6,CLN2,True
35,"[MBP1,SWI6]","[CLB5,CLB6]",SWI6,CLB5,True
36,"[MBP1,SWI6]","[CLB5,CLB6]",SWI6,CLB6,True
37,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",SWI6,YOX1,True
38,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",SWI6,YHP1,True
39,"[MBP1,SWI6]","[YOX1,NRM1,YHP1]",SWI6,NRM1,True
40,"[CLN1,CLN2]","[WHI5,STB1]",CLN1,WHI5,False
41,"[CLN1,CLN2]","[WHI5,STB1]",CLN1,STB1,False
42,"[CLN1,CLN2]","[WHI5,STB1]",CLN2,WHI5,False
43,"[CLN1,CLN2]","[WHI5,STB1]",CLN2,STB1,False
44,"[WHI5,STB1]","[SWI4,SWI6]",WHI5,SWI4,False
45,"[WHI5,STB1]","[SWI4,SWI6]",WHI5,SWI6,False
46,"[WHI5,STB1]","[MBP1,SWI6]",WHI5,SWI6,False
47,"[WHI5,STB1]","[MBP1,SWI6]",WHI5,MBP1,False
48,"[WHI5,STB1]","[YOX1,NRM1,YHP1]",STB1,YHP1,True
49,"[WHI5,STB1]","[SWI4,SWI6]",STB1,SWI4,False
50,"[WHI5,STB1]","[SWI4,SWI6]",STB1,SWI6,False
51,"[WHI5,STB1]","[MBP1,SWI6]",STB1,SWI6,False
52,"[WHI5,STB1]","[MBP1,SWI6]",STB1,MBP1,False
53,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",YOX1,SWI4,False
54,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",YOX1,SWI6,False
55,"[YOX1,NRM1,YHP1]","[MBP1,SWI6]",YOX1,SWI6,False
56,"[YOX1,NRM1,YHP1]","[MBP1,SWI6]",YOX1,MBP1,False
57,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",NRM1,SWI4,False
58,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",NRM1,SWI6,False
59,"[YOX1,NRM1,YHP1]","[MBP1,SWI6]",NRM1,SWI6,False
60,"[YOX1,NRM1,YHP1]","[MBP1,SWI6]",NRM1,MBP1,False
61,"[YOX1,NRM1,YHP1]","[HCM1,PLM2,TOS4]",YHP1,PLM2,False
62,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",YHP1,SWI4,False
63,"[YOX1,NRM1,YHP1]","[SWI4,SWI6]",YHP1,SWI6,False
64,"[YOX1,NRM1,YHP1]","[MBP1,SWI6]",YHP1,SWI6,False
65,"[YOX1,NRM1,YHP1]","[MBP1,SWI6]",YHP1,MBP1,False
66,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",HCM1,NDD1,True
67,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",HCM1,FKH1,True
68,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",HCM1,FKH2,True
69,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",HCM1,MCM1,True
70,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",PLM2,NDD1,True
71,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",PLM2,FKH1,True
72,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",PLM2,FKH2,True
73,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",PLM2,MCM1,True
74,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",TOS4,NDD1,True
75,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",TOS4,FKH1,True
76,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",TOS4,FKH2,True
77,"[HCM1,PLM2,TOS4]","[NDD1,FKH1,FKH2,MCM1]",TOS4,MCM1,True
78,"[NDD1,FKH1,FKH2,MCM1]","[SWI5,ACE2]",NDD1,SWI5,True
